"EnsemblId" "MedianSlope" "MedianMaf" "MedianP" "NumberEqtl" "NumberLoeEqtl" "NumberGoeEqtl" "GenomeWideHaploinsufficiencyScore"
"1" "ENSG00000000003" 0.13397 0.392424 6.08112811563846 679 291 388 0.4899175074
"2" "ENSG00000000005" -0.187152 0.234566 4.58634238388621 12 10 2 0.4856949362
"3" "ENSG00000000419" -0.855708 0.0228571 4.97857913895075 19 17 2 0.6115089149
"4" "ENSG00000000457" -0.281263 0.104444 5.41213980696301 3575 2904 671 0.4989236809
"5" "ENSG00000000460" -0.268054 0.12 6.79969955532769 3131 2062 1069 0.617233434
"6" "ENSG00000000938" -0.153781 0.0754717 5.09690132720528 53 27 26 0.6424552957
"7" "ENSG00000000971" 0.195174 0.330153 6.0008076697051 1123 400 723 0.5230879372
"8" "ENSG00000001036" 0.23315 0.0229469 5.3467073904066 341 46 295 0.4405026626
"9" "ENSG00000001084" -0.215006 0.30137 5.83741767247885 265 179 86 0.5333665021
"10" "ENSG00000001167" 0.418911 0.110224 8.74691653867761 2991 14 2977 0.6827643606
"11" "ENSG00000001460" -0.254915 0.23913 5.92822842058324 2267 1741 526 0.4750077691
"12" "ENSG00000001461" -0.135076 0.26172 7.00009208019101 1524 800 724 0.6032935394
"13" "ENSG00000001497" -0.305818 0.0533333 4.71726236248537 341 272 69 0.5417639436
"14" "ENSG00000001561" 0.134476 0.422764 8.20638700008057 1951 926 1025 0.4398013396
"15" "ENSG00000001617" 0.13709 0.433333 4.6368686419732 1052 483 569 0.592641584
"16" "ENSG00000001626" -0.340186 0.206278 5.3015532012532 59 35 24 0.4296094394
"17" "ENSG00000001629" -0.137792 0.111111 5.49999693194831 784 438 346 0.6298246702
"18" "ENSG00000001630" -0.3853155 0.395918 23.3885672036619 704 383 321 0.5987994479
"19" "ENSG00000001631" 0.2730745 0.100649 4.93402463394958 498 NA 498 0.6626301638
"20" "ENSG00000002016" -0.186481 0.265753 7.05199413150504 3303 2394 909 0.4897683011
"21" "ENSG00000002330" -0.1438535 0.3111885 5.3228586122502 84 77 7 0.5896700011
"22" "ENSG00000002549" -0.310036 0.383202 9.23208719135195 2308 1979 329 0.5892077426
"23" "ENSG00000002586" -0.167732 0.2656565 5.72219831786779 264 215 49 0.41658
"24" "ENSG00000002587" -0.319268 0.270522 5.6964648499509 429 244 185 0.5862710702
"25" "ENSG00000002726" -0.394945 0.288889 6.8446366301759 1043 629 414 0.4068440011
"26" "ENSG00000002745" 0.207085 0.411403 5.088530237743 404 192 212 0.4309538575
"27" "ENSG00000002746" 0.33744 0.258145 6.48819014122996 265 15 250 0.6086050691
"28" "ENSG00000002822" 0.292014 0.228131 5.23549135974239 488 124 364 0.5573919617
"29" "ENSG00000002834" -0.117273 0.244055 5.05166504795073 132 67 65 0.6309099
"30" "ENSG00000002919" -0.200378 0.223881 6.39079310733902 9279 5032 4247 0.6178462426
"31" "ENSG00000003056" 0.156193 0.219298 6.09971482142999 1162 269 893 0.6903133
"32" "ENSG00000003096" -0.209389 0.1458015 5.70462535162003 480 381 99 0.4668662809
"33" "ENSG00000003137" 0.3842425 0.140921 8.31371863890269 516 228 288 0.5054613564
"34" "ENSG00000003147" -0.173807 0.417293 6.99312339059664 345 274 71 0.5379088936
"35" "ENSG00000003249" 0.41602 0.0900277 6.37910953230695 4181 1189 2992 0.5818459287
"36" "ENSG00000003393" -0.345833 0.169811 7.65222908248354 2740 2040 700 0.5915489543
"37" "ENSG00000003400" -0.2237855 0.3704255 5.5261365613005 916 557 359 0.4629836628
"38" "ENSG00000003402" -0.110624 0.164804 4.8643522278208 339 197 142 0.5758417585
"39" "ENSG00000003436" -0.169727 0.2510655 5.09257090231298 1992 1249 743 0.4462516315
"40" "ENSG00000003509" -0.193117 0.352 5.44729468188248 850 468 382 0.5266308096
"41" "ENSG00000003756" 0.0690884 0.465517 4.64114610754532 370 166 204 0.6470322032
"42" "ENSG00000003987" 0.223399 0.262792 5.19880525441728 204 75 129 0.5906283117
"43" "ENSG00000003989" -0.272835 0.287169 5.88651456859405 191 142 49 0.4368662213
"44" "ENSG00000004059" -0.142059 0.240139 5.0446018758939 182 168 14 0.6021079968
"45" "ENSG00000004139" -0.278046 0.0960961 4.36325340940163 83 44 39 0.5401112745
"46" "ENSG00000004399" 0.196637 0.101804 5.37531371359938 327 125 202 0.5950939255
"47" "ENSG00000004455" -0.175472 0.275698 5.27136178737151 480 423 57 0.6100824489
"48" "ENSG00000004468" -0.265972 0.368421 7.02322281570411 1365 1134 231 0.5580030011
"49" "ENSG00000004478" 0.7551035 0.0271075 5.38369624231406 16 3 13 0.4077799596
"50" "ENSG00000004487" -0.2118 0.093985 4.96233052450642 181 114 67 0.6670363415
"51" "ENSG00000004534" 0.172815 0.35206 7.96319949642655 26009 12305 13704 0.5829411096
"52" "ENSG00000004660" -0.242381 0.246183 7.01323833969167 64 43 21 0.5914400809
"53" "ENSG00000004700" 0.126771 0.265707 5.2128995794182 929 324 605 0.6718397489
"54" "ENSG00000004766" -0.135308 0.0829371 6.00892506735823 242 138 104 0.5899217213
"55" "ENSG00000004776" 0.204794 0.146667 4.82422444298681 18 NA 18 0.4301261
"56" "ENSG00000004777" -0.2028175 0.3218315 6.57521796863763 1042 1033 9 0.6708790011
"57" "ENSG00000004779" 0.285922 0.0606618 6.60244407744105 125 35 90 0.5507029926
"58" "ENSG00000004799" 0.1669055 0.4363415 5.03870802687388 210 11 199 0.4861819457
"59" "ENSG00000004838" 0.796426 0.0373134 4.07827035727019 207 NA 207 0.4338381362
"60" "ENSG00000004848" 0.6120015 0.0180523 5.02496222243125 6 2 4 0.5657895319
"61" "ENSG00000004864" -0.229581 0.3863935 6.49535993834742 624 470 154 0.5770445968
"62" "ENSG00000004866" -0.687109 0.0688889 8.33479718801086 117 104 13 0.6116104585
"63" "ENSG00000004897" 0.2896125 0.0406864 5.56199036429389 920 130 790 0.6146956202
"64" "ENSG00000004939" 0.0933604 0.04805075 4.48872909181302 16 4 12 0.6710539596
"65" "ENSG00000004961" 0.1574175 0.2106195 4.86530823010273 62 6 56 0.4619076269
"66" "ENSG00000004975" -0.155632 0.377612 5.21119126926763 102 87 15 0.5954295032
"67" "ENSG00000005001" -0.201307 0.259398 5.78905043240959 161 98 63 0.4975864851
"68" "ENSG00000005007" 0.011223 0.13231745 5.66033196237773 44 22 22 0.6041453585
"69" "ENSG00000005020" 0.143757 0.201299 6.00134361193327 1355 485 870 0.5094472266
"70" "ENSG00000005022" -0.0866829 0.2340445 5.37023373268068 310 285 25 0.6434956032
"71" "ENSG00000005059" -0.184086 0.361423 5.37691308336589 145 106 39 0.4889328606
"72" "ENSG00000005073" -0.890993 0.0138504 4.89506926092226 3 3 NA 0.5667924223
"73" "ENSG00000005075" -0.10461 0.131443 5.71764303040229 1047 525 522 0.5162831223
"74" "ENSG00000005100" -0.2070885 0.0782123 4.94051231572555 82 74 8 0.5919028053
"75" "ENSG00000005102" 0.217767 0.331121 4.36280957648167 208 21 187 0.4206645713
"76" "ENSG00000005108" 0.640377 0.176339 6.08708851028061 503 112 391 0.5240763351
"77" "ENSG00000005156" -0.125376 0.3125 7.24019924377438 3601 1810 1791 0.6267117521
"78" "ENSG00000005175" -0.264374 0.0718157 7.71940342060142 229 228 1 0.6621603362
"79" "ENSG00000005189" -0.249379 0.391089 5.25342729155167 665 402 263 0.4303548195
"80" "ENSG00000005194" -0.271007 0.0489691 7.73916568782768 654 554 100 0.5069971319
"81" "ENSG00000005238" 0.18015 0.2252925 4.75603603054382 566 173 393 0.5472383383
"82" "ENSG00000005243" -0.14136 0.233083 6.04092854217857 1077 617 460 0.6286772043
"83" "ENSG00000005249" -0.408843 0.0876289 5.45875284371283 239 191 48 0.5623725787
"84" "ENSG00000005302" -0.27766 0.0349162 5.18979908043096 51 45 6 0.5281104255
"85" "ENSG00000005339" 0.1186195 0.1474928 4.71385353041361 4 1 3 0.6011793649
"86" "ENSG00000005379" 0.146728 0.359306 6.09441295488351 3750 1011 2739 0.456867922
"87" "ENSG00000005381" -0.28755 0.0623306 5.25276614168956 37 23 14 0.4016248319
"88" "ENSG00000005436" 0.325314 0.238864 6.97852953458582 2322 224 2098 0.4083671605
"89" "ENSG00000005448" -0.232591 0.163662 4.49252598973177 78 74 4 0.5099297543
"90" "ENSG00000005469" 0.180219 0.157821 5.65302732666716 983 466 517 0.5414992734
"91" "ENSG00000005471" 0.188251 0.166667 6.27256692342162 641 307 334 0.4439069245
"92" "ENSG00000005483" 0.1626265 0.343718 4.4156546386724 4 NA 4 0.6217941574
