species	D
Monodelphis_domestica	0
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
Sarcophilus_harrisii	0
Ochotona_princeps	0
Castor_canadensis	0
Dipodomys_ordii	0
Cricetulus_griseus	1.406951923854649e-07
Mesocricetus_auratus	0
Peromyscus_maniculatus	6.895388651173562e-07
Microtus_ochrogaster	0
Meriones_unguiculatus	0
Mus_caroli	7.517410267610103e-07
Mus_musculus	0
Mus_spretus	0
Mus_pahari	0
Rattus_norvegicus	0
Nannospalax_galili	0
Cavia_aperea	0
Cavia_porcellus	0
Octodon_degus	0
Chinchilla_lanigera	0
Fukomys_damarensis	7.336599082918838e-06
Ictidomys_tridecemlineatus	0
Marmota_marmota_marmota	0
Galeopterus_variegatus	0
Aotus_nancymaae	0
Callithrix_jacchus	0
Cebus_capucinus	0
Saimiri_boliviensis	0
Cercocebus_atys	0
Macaca_mulatta	0
Macaca_fascicularis	0
Papio_anubis	0
Chlorocebus_sabaeus	0
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0
Rhinopithecus_roxellana	0
Homo_sapiens	0
Gorilla_gorilla	0
Nomascus_leucogenys	0
Pongo_abelii	0
Pan_paniscus	31.02751434530728
Pan_troglodytes	0
Colobus_angolensis	0.18662864254656597
Macaca_nemestrina	0.4332025804724253
Mandrillus_leucophaeus	0.9085593046074791
Carlito_syrichta	0
Tupaia_belangeri	4.4433545554056764e-07
Tupaia_chinensis	0
Microcebus_murinus	0
Propithecus_coquereli	3.5204720916226506e-08
Otolemur_garnettii	5.493930075317621e-07
Choloepus_hoffmanni	0
Chrysochloris_asiatica	0
Elephantulus_edwardii	0
Echinops_telfairi	0
Loxodonta_africana	0
Trichechus_manatus_latirostris	0
Procavia_capensis	0.0718209642363945
Orycteropus_afer_afer	0
Dasypus_novemcinctus	0
Manis_javanica	0
Ceratotherium_simum_simum	0
Equus_asinus	0
Equus_caballus	2.4921995691802294
Equus_przewalskii	1.1770316632464528e-07
Condylura_cristata	0
Erinaceus_europaeus	0
Sorex_araneus	0
Eptesicus_fuscus	0
Myotis_brandtii	0
Myotis_lucifugus	0
Myotis_davidii	0
Miniopterus_natalensis	0
Hipposideros_armiger	0
Rhinolophus_sinicus	0
Pteropus_alecto	0
Pteropus_vampyrus	0
Rousettus_aegyptiacus	0
Balaenoptera_acutorostrata_scammoni	0
Physeter_catodon	0
Delphinapterus_leucas	0
Orcinus_orca	0
Tursiops_truncatus	0
Lipotes_vexillifer	0
Bison_bison_bison	0
Bos_indicus	0
Bos_mutus	0
Bos_taurus	0
Bubalus_bubalis	5.803449312224984e-07
Capra_hircus	0
Ovis_aries	0
Pantholops_hodgsonii	0
Odocoileus_virginianus_texanus	0
Sus_scrofa	0
Camelus_bactrianus	0
Camelus_dromedarius	0
Camelus_ferus	0
Vicugna_pacos	1.7628190107643604e-07
Canis_familiaris	0
Ailuropoda_melanoleuca	0
Ursus_maritimus	0
Enhydra_lutris_kenyoni	0
Mustela_putorius	0
Leptonychotes_weddellii	0
Neomonachus_schauinslandi	0
Odobenus_rosmarus_divergens	0
Panthera_pardus	2.545348252169788e-07
Panthera_tigris_altaica	0
Felis_catus	0
Acinonyx_jubatus	5.838810466229916e-07
Ornithorhynchus_anatinus	0
