species	D
Monodelphis_domestica	0
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
Sarcophilus_harrisii	0
Chrysochloris_asiatica	0
Echinops_telfairi	0
Orycteropus_afer_afer	0
Elephantulus_edwardii	0.00010961470252368599
Loxodonta_africana	0
Procavia_capensis	0
Trichechus_manatus_latirostris	0
Choloepus_hoffmanni	0
Dasypus_novemcinctus	0
Aotus_nancymaae	0
Cebus_capucinus	0
Saimiri_boliviensis	4.334080873566563
Callithrix_jacchus	0
Cercocebus_atys	0.6771321114720195
Chlorocebus_sabaeus	0
Papio_anubis	0
Macaca_fascicularis	0
Macaca_mulatta	0
Macaca_nemestrina	0
Mandrillus_leucophaeus	0
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0
Rhinopithecus_roxellana	0
Colobus_angolensis	0
Gorilla_gorilla	0
Homo_sapiens	0
Pan_paniscus	0
Pongo_abelii	0
Nomascus_leucogenys	0
Carlito_syrichta	0
Microcebus_murinus	0
Propithecus_coquereli	0
Otolemur_garnettii	0
Erinaceus_europaeus	0
Castor_canadensis	0
Dipodomys_ordii	0
Cricetulus_griseus	0
Mesocricetus_auratus	0
Peromyscus_maniculatus	0
Microtus_ochrogaster	0.3100808582166792
Meriones_unguiculatus	0
Mus_caroli	0
Mus_musculus	0
Mus_spretus	0.036668309025117196
Mus_pahari	0
Rattus_norvegicus	0
Nannospalax_galili	0
Jaculus_jaculus	0
Cavia_porcellus	0
Chinchilla_lanigera	0
Octodon_degus	0
Fukomys_damarensis	0
Heterocephalus_glaber	0
Ictidomys_tridecemlineatus	0
Marmota_marmota_marmota	1.1138661648146808e-05
Ochotona_princeps	0
Oryctolagus_cuniculus	0
Galeopterus_variegatus	0
Tupaia_chinensis	0
Condylura_cristata	0
Manis_javanica	0
Balaenoptera_acutorostrata_scammoni	1.5611315303540323
Delphinapterus_leucas	0
Orcinus_orca	0
Tursiops_truncatus	0
Lipotes_vexillifer	0
Physeter_catodon	0
Bos_indicus	0
Bos_taurus	0
Bos_mutus	0
Capra_hircus	0
Ovis_aries	0
Pantholops_hodgsonii	0
Odocoileus_virginianus_texanus	0
Sus_scrofa	0
Camelus_bactrianus	0
Camelus_ferus	0
Camelus_dromedarius	0
Vicugna_pacos	0
Ceratotherium_simum_simum	0
Equus_asinus	0.32397112478793133
Equus_caballus	0
Equus_przewalskii	0
Sorex_araneus	0
Eptesicus_fuscus	0
Myotis_brandtii	0
Myotis_davidii	0
Myotis_lucifugus	0
Miniopterus_natalensis	0
