species	D
Monodelphis_domestica	0
Papio_anubis	0
Eptesicus_fuscus	0
Myotis_brandtii	0
Balaenoptera_acutorostrata_scammoni	0
Delphinapterus_leucas	0
Orcinus_orca	2.4744804250076413e-07
Tursiops_truncatus	0
Lipotes_vexillifer	0
Physeter_catodon	2.0206163428156287
Bison_bison_bison	0
Bos_indicus	0
Bos_taurus	0
Bos_mutus	0
Bubalus_bubalis	0
Capra_hircus	0
Pantholops_hodgsonii	0
Ovis_aries	0.058766435788129456
Odocoileus_virginianus_texanus	0
Camelus_bactrianus	1.3057280609136797
Camelus_ferus	0
Camelus_dromedarius	0
Sus_scrofa	0.0861706067880732
Manis_javanica	0
Ailuropoda_melanoleuca	0
Ursus_maritimus	0
Enhydra_lutris_kenyoni	0
Mustela_putorius	0
Leptonychotes_weddellii	0
Neomonachus_schauinslandi	1.5182922214225982
Odobenus_rosmarus_divergens	0
Canis_familiaris	0
Panthera_pardus	0
Panthera_tigris_altaica	0
Felis_catus	0
Acinonyx_jubatus	0
Ornithorhynchus_anatinus	0
