species	D
Monodelphis_domestica	0
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
Sarcophilus_harrisii	0
Choloepus_hoffmanni	0
Dasypus_novemcinctus	0
Chrysochloris_asiatica	0
Echinops_telfairi	0
Elephantulus_edwardii	0
Loxodonta_africana	0
Procavia_capensis	0
Trichechus_manatus_latirostris	0
Orycteropus_afer_afer	0
Aotus_nancymaae	2.9707298381254077e-06
Cebus_capucinus	0
Callithrix_jacchus	0.0004688381450250745
Saimiri_boliviensis	0
Cercocebus_atys	2.710784023118322
Mandrillus_leucophaeus	0.7413168173079612
Papio_anubis	0
Macaca_fascicularis	0
Macaca_mulatta	0
Macaca_nemestrina	20.413541364570847
Chlorocebus_sabaeus	0
Colobus_angolensis	0
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0
Rhinopithecus_roxellana	1.088737917598337e-05
Gorilla_gorilla	0
Homo_sapiens	0
Pan_paniscus	6.965477950870991e-06
Pan_troglodytes	0
Nomascus_leucogenys	0
Pongo_abelii	0
Carlito_syrichta	0
Otolemur_garnettii	1.2134627441118937
Propithecus_coquereli	0
Galeopterus_variegatus	0
Castor_canadensis	0
