species	D
Ictidomys_tridecemlineatus	0
Galeopterus_variegatus	0.034110365244487184
Tupaia_belangeri	0
Tupaia_chinensis	0
Castor_canadensis	0
Cricetulus_griseus	0
Mesocricetus_auratus	0
Microtus_ochrogaster	0
Mus_caroli	0
Mus_musculus	0
Mus_spretus	0
Mus_pahari	7.275957614183426e-12
Rattus_norvegicus	0
Peromyscus_maniculatus	0
Meriones_unguiculatus	0
Nannospalax_galili	0
Jaculus_jaculus	0
Dipodomys_ordii	1.028192977008075
Chrysochloris_asiatica	0.5747065252799075
Erinaceus_europaeus	0
Trichechus_manatus_latirostris	0.0038521059941558633
Procavia_capensis	0.3835113426539465
Loxodonta_africana	0
Elephantulus_edwardii	0
Cavia_aperea	17.014995495674157
Cavia_porcellus	0
Octodon_degus	0
Chinchilla_lanigera	0
Heterocephalus_glaber	0
Fukomys_damarensis	0
Bison_bison_bison	0
Bos_mutus	0
Bos_indicus	0
Bos_taurus	0
Bubalus_bubalis	0
Odocoileus_virginianus_texanus	0
Ovis_aries	0
Pantholops_hodgsonii	0
Capra_hircus	0
Aotus_nancymaae	0
Callithrix_jacchus	0
Cebus_capucinus	0
Saimiri_boliviensis	2.05637048160861
Cercocebus_atys	0
Chlorocebus_sabaeus	0
Pan_paniscus	7.489148797583766
Pongo_abelii	0
Colobus_angolensis	0
Rhinopithecus_roxellana	0
Gorilla_gorilla	0
Homo_sapiens	0
Nomascus_leucogenys	0
Pan_troglodytes	0
Macaca_fascicularis	0
Macaca_nemestrina	0
Mandrillus_leucophaeus	0
Papio_anubis	0
Macaca_mulatta	0
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0
Condylura_cristata	0
Microcebus_murinus	0
Propithecus_coquereli	0
Ochotona_princeps	0
Dasypus_novemcinctus	0
Balaenoptera_acutorostrata_scammoni	0.00788086241846031
Delphinapterus_leucas	0.002969038465380436
Orcinus_orca	0
Tursiops_truncatus	0
Physeter_catodon	1.734042598400265e-07
Lipotes_vexillifer	0
Sus_scrofa	0
Manis_javanica	0
Carlito_syrichta	0
Otolemur_garnettii	0
Camelus_bactrianus	0
Camelus_dromedarius	1.3666305733386253
Camelus_ferus	0
Eptesicus_fuscus	0
Myotis_brandtii	0
Myotis_lucifugus	0
Myotis_davidii	0
Miniopterus_natalensis	0
Hipposideros_armiger	0
Rhinolophus_sinicus	0
Pteropus_alecto	0
Pteropus_vampyrus	0
Rousettus_aegyptiacus	0
Ceratotherium_simum_simum	0
Equus_asinus	0.4770230134108715
Equus_caballus	0
Equus_przewalskii	0
Oryctolagus_cuniculus	0.6644398086518777
Canis_familiaris	1.1985748642473482e-05
Enhydra_lutris_kenyoni	0
Mustela_putorius	0
Leptonychotes_weddellii	9.094947017729282e-12
Neomonachus_schauinslandi	0
Odobenus_rosmarus_divergens	0.06517644090490649
Ailuropoda_melanoleuca	0
Ursus_maritimus	0
Felis_catus	0
Panthera_pardus	0
Panthera_tigris_altaica	0
Acinonyx_jubatus	0
Monodelphis_domestica	0
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
Sarcophilus_harrisii	0
