species	D
Monodelphis_domestica	0
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
Sarcophilus_harrisii	0
Cavia_aperea	0
Cavia_porcellus	0
Octodon_degus	0
Fukomys_damarensis	0
Heterocephalus_glaber	0
Chinchilla_lanigera	0
Castor_canadensis	0
Dipodomys_ordii	0
Jaculus_jaculus	0
Cricetulus_griseus	0
Mesocricetus_auratus	0
Peromyscus_maniculatus	0
Microtus_ochrogaster	0
Mus_caroli	0
Mus_musculus	0
Mus_spretus	0
Mus_pahari	0
Rattus_norvegicus	0
Nannospalax_galili	0
Aotus_nancymaae	0
Callithrix_jacchus	0
Cebus_capucinus	0
Saimiri_boliviensis	0
Cercocebus_atys	0
Papio_anubis	0
Mandrillus_leucophaeus	0
Macaca_fascicularis	0
Macaca_nemestrina	0
Chlorocebus_sabaeus	0
Colobus_angolensis	0
Rhinopithecus_bieti	0
Rhinopithecus_roxellana	0
Piliocolobus_tephrosceles	0
Nomascus_leucogenys	0
Gorilla_gorilla	0
Macaca_mulatta	0
Pan_troglodytes	0
Pan_paniscus	0
Homo_sapiens	0
Pongo_abelii	0
Microcebus_murinus	0
Propithecus_coquereli	0
Otolemur_garnettii	0
Galeopterus_variegatus	0
Choloepus_hoffmanni	2.0676088752225041e-07
Dasypus_novemcinctus	0
Chrysochloris_asiatica	0
Loxodonta_africana	0
Procavia_capensis	0.00012206452811369672
Trichechus_manatus_latirostris	0
Echinops_telfairi	0
Elephantulus_edwardii	0
Orycteropus_afer_afer	0
Carlito_syrichta	0
Ochotona_princeps	0.03517917270073667
Oryctolagus_cuniculus	0
Tupaia_belangeri	0
Tupaia_chinensis	0
Ictidomys_tridecemlineatus	0
Balaenoptera_acutorostrata_scammoni	0
Physeter_catodon	0
Delphinapterus_leucas	0
Orcinus_orca	0
Tursiops_truncatus	0
Lipotes_vexillifer	0
Bison_bison_bison	0.0028057602867193054
Bos_mutus	0
Bubalus_bubalis	0
Bos_indicus	0
Bos_taurus	0
Capra_hircus	0
Ovis_aries	0
Pantholops_hodgsonii	0
Odocoileus_virginianus_texanus	0
Sus_scrofa	0
Camelus_bactrianus	0
Camelus_dromedarius	0
Manis_javanica	0
Eptesicus_fuscus	0
Myotis_brandtii	0
Myotis_davidii	0
Myotis_lucifugus	0
Pteropus_alecto	0
Pteropus_vampyrus	0
Rousettus_aegyptiacus	0
Rhinolophus_sinicus	0
