species	D
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
Sarcophilus_harrisii	0
Chrysochloris_asiatica	0
Echinops_telfairi	0
Elephantulus_edwardii	0
Orycteropus_afer_afer	0
Loxodonta_africana	0
Trichechus_manatus_latirostris	0
Procavia_capensis	0
Choloepus_hoffmanni	0.5283990837342571
Dasypus_novemcinctus	0.020794520736671984
Aotus_nancymaae	0
Callithrix_jacchus	3.538916913297726
Cebus_capucinus	0
Saimiri_boliviensis	0
Cercocebus_atys	0
Macaca_fascicularis	0
Macaca_nemestrina	0
Macaca_mulatta	0
Papio_anubis	0
Mandrillus_leucophaeus	0
Chlorocebus_sabaeus	0
Colobus_angolensis	0
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0
Rhinopithecus_roxellana	0
Gorilla_gorilla	1.9431706525792833
Homo_sapiens	0.19650748814456165
Pan_paniscus	0
Pan_troglodytes	7.183273555710912e-05
Pongo_abelii	7.231509254837874
Nomascus_leucogenys	0
Carlito_syrichta	0
Microcebus_murinus	0
Propithecus_coquereli	0
Otolemur_garnettii	2.0153529476374388e-06
Galeopterus_variegatus	0
Castor_canadensis	0
Dipodomys_ordii	0
Cricetulus_griseus	0
Microtus_ochrogaster	0
Peromyscus_maniculatus	0
Meriones_unguiculatus	0
Mus_caroli	0
