species	D
Choloepus_hoffmanni	0
Dasypus_novemcinctus	0
Chrysochloris_asiatica	0
Elephantulus_edwardii	0
Orycteropus_afer_afer	0
Echinops_telfairi	0
Loxodonta_africana	0.8670316142015508
Procavia_capensis	0
Trichechus_manatus_latirostris	0
Aotus_nancymaae	0
Saimiri_boliviensis	0
Callithrix_jacchus	0.3886901204023161
Cercocebus_atys	0
Papio_anubis	0
Mandrillus_leucophaeus	0
Macaca_fascicularis	0
Macaca_nemestrina	0
Macaca_mulatta	0
Chlorocebus_sabaeus	0
Colobus_angolensis	0
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0
Rhinopithecus_roxellana	0
Gorilla_gorilla	0
Pan_paniscus	0
Pan_troglodytes	0
Homo_sapiens	0
Nomascus_leucogenys	0
Pongo_abelii	0
Carlito_syrichta	0
Otolemur_garnettii	0
Propithecus_coquereli	0
Castor_canadensis	0
Dipodomys_ordii	0
Cricetulus_griseus	0.0886535273239133
Mesocricetus_auratus	0
Microtus_ochrogaster	0
Peromyscus_maniculatus	0
Meriones_unguiculatus	0
Mus_caroli	0
Mus_musculus	0.16423908822616795
Mus_spretus	0
Mus_pahari	0
Rattus_norvegicus	0
Nannospalax_galili	0
Jaculus_jaculus	0
Cavia_aperea	0
Cavia_porcellus	0
Chinchilla_lanigera	0
Octodon_degus	0
Fukomys_damarensis	0
Heterocephalus_glaber	0
Ictidomys_tridecemlineatus	0
Marmota_marmota_marmota	0
Ochotona_princeps	0
Oryctolagus_cuniculus	0
Tupaia_belangeri	1.6162523629100178
Tupaia_chinensis	6.730260793119669e-09
Galeopterus_variegatus	5.6970748119056225e-09
Manis_javanica	0
Condylura_cristata	0
Erinaceus_europaeus	0
Sorex_araneus	0
