species	D
Mus_spretus	0
Mus_musculus	0
Mus_caroli	0
Mus_pahari	0
Cricetulus_griseus	0
Meriones_unguiculatus	0
Microtus_ochrogaster	0
Peromyscus_maniculatus	0
Castor_canadensis	0
Cavia_aperea	11.942855888733902
Cavia_porcellus	0
Octodon_degus	0
Chinchilla_lanigera	9.270497685065493e-07
Ochotona_princeps	0.04388883882711525
Oryctolagus_cuniculus	0
Fukomys_damarensis	0
Heterocephalus_glaber	0
Marmota_marmota_marmota	0
Monodelphis_domestica	0
Phascolarctos_cinereus	0
Sarcophilus_harrisii	0
Aotus_nancymaae	0
Saimiri_boliviensis	0
Cebus_capucinus	3.8151483749970794e-08
Cercocebus_atys	0
Mandrillus_leucophaeus	0
Chlorocebus_sabaeus	3.9835428613569093
Macaca_mulatta	0.9131447130293964
Rhinopithecus_roxellana	0
Colobus_angolensis	2.3436223273165524e-07
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0
Macaca_nemestrina	0
Papio_anubis	0
Gorilla_gorilla	0
Pongo_abelii	0
Macaca_fascicularis	0
Homo_sapiens	0
Pan_paniscus	0
Microcebus_murinus	0
Propithecus_coquereli	0
Chrysochloris_asiatica	0
Elephantulus_edwardii	0
Echinops_telfairi	0
Orycteropus_afer_afer	0
Loxodonta_africana	0
Procavia_capensis	0
Trichechus_manatus_latirostris	0
Condylura_cristata	0
Tupaia_belangeri	0
Tupaia_chinensis	0
Galeopterus_variegatus	0
Choloepus_hoffmanni	0
Dipodomys_ordii	0
Equus_asinus	0
Equus_caballus	0
Equus_przewalskii	0
Eptesicus_fuscus	0.4936514384316979
Myotis_davidii	0
Myotis_lucifugus	0
Miniopterus_natalensis	0
Erinaceus_europaeus	0
Balaenoptera_acutorostrata_scammoni	0
Lipotes_vexillifer	0
Delphinapterus_leucas	0
Tursiops_truncatus	0
Orcinus_orca	1.7340260455966927e-05
Physeter_catodon	0
Bison_bison_bison	0
Bos_taurus	0
Bos_mutus	0
Bos_indicus	0
Bubalus_bubalis	0
Capra_hircus	0
Pantholops_hodgsonii	0
Ovis_aries	0
Odocoileus_virginianus_texanus	0.05544468764310295
Sus_scrofa	0
Camelus_bactrianus	0
Camelus_ferus	0
Camelus_dromedarius	0
Vicugna_pacos	0
Ceratotherium_simum_simum	0
Hipposideros_armiger	3.053082764381543e-07
Rhinolophus_sinicus	0
Pteropus_alecto	0
Pteropus_vampyrus	0
Rousettus_aegyptiacus	0
Ailuropoda_melanoleuca	0.03638511817189283
Ursus_maritimus	0.0960320974172646
Leptonychotes_weddellii	0.09756541364004079
Neomonachus_schauinslandi	0
Odobenus_rosmarus_divergens	0
Enhydra_lutris_kenyoni	0
Mustela_putorius	22.9668249708684
Canis_familiaris	0
Felis_catus	0
Panthera_tigris_altaica	0
Panthera_pardus	0
Acinonyx_jubatus	1.666376192588359e-07
Ornithorhynchus_anatinus	1.2983142866833077
