species	D
Monodelphis_domestica	0
Phascolarctos_cinereus	0
Notamacropus_eugenii	0
Sarcophilus_harrisii	0
Orycteropus_afer_afer	0
Elephantulus_edwardii	0
Chrysochloris_asiatica	0
Loxodonta_africana	0
Procavia_capensis	0
Trichechus_manatus_latirostris	0
Aotus_nancymaae	0
Callithrix_jacchus	0
Cebus_capucinus	0
Saimiri_boliviensis	1.4551915228366852e-11
Cercocebus_atys	0
Papio_anubis	0
Macaca_fascicularis	0
Macaca_mulatta	0
Macaca_nemestrina	0
Mandrillus_leucophaeus	0
Chlorocebus_sabaeus	0
Colobus_angolensis	0
Rhinopithecus_bieti	0
Rhinopithecus_roxellana	0
Piliocolobus_tephrosceles	0
Nomascus_leucogenys	0.04533692957920721
Gorilla_gorilla	0
Homo_sapiens	0
Pan_troglodytes	0
Pan_paniscus	0
Pongo_abelii	0
Carlito_syrichta	0
Microcebus_murinus	3.741908710282587
Propithecus_coquereli	0
Otolemur_garnettii	0
Galeopterus_variegatus	0
