species	D
Monodelphis_domestica	0
Sarcophilus_harrisii	0.0041913337336154655
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
Choloepus_hoffmanni	0
Chrysochloris_asiatica	0
Elephantulus_edwardii	0
Orycteropus_afer_afer	0
Echinops_telfairi	0
Loxodonta_africana	0
Procavia_capensis	0
Trichechus_manatus_latirostris	0
Pteropus_alecto	0
Pteropus_vampyrus	21.168107828416396
Rousettus_aegyptiacus	0
Eptesicus_fuscus	0
Myotis_brandtii	0
Myotis_lucifugus	3.463965549599379e-05
Myotis_davidii	0
Miniopterus_natalensis	0
Hipposideros_armiger	0.26870704113389365
Rhinolophus_sinicus	0
Aotus_nancymaae	0
Callithrix_jacchus	0
Cebus_capucinus	0
Saimiri_boliviensis	0
Cercocebus_atys	0
Macaca_fascicularis	0
Macaca_mulatta	0
Macaca_nemestrina	0
Papio_anubis	0
Mandrillus_leucophaeus	0
Chlorocebus_sabaeus	0
Colobus_angolensis	4.972389433532953e-08
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0.0167444243124919
Rhinopithecus_roxellana	0
Gorilla_gorilla	0
Homo_sapiens	0
Pan_paniscus	0
Pan_troglodytes	2.401533129159361e-05
Pongo_abelii	0
Nomascus_leucogenys	0
Microcebus_murinus	0
Propithecus_coquereli	0
Otolemur_garnettii	0
Balaenoptera_acutorostrata_scammoni	0
Delphinapterus_leucas	0
Orcinus_orca	0
Tursiops_truncatus	0
Lipotes_vexillifer	0.024390627193497494
Physeter_catodon	0
Bison_bison_bison	0
Bos_mutus	0.2994682776625268
Bos_indicus	0
Bos_taurus	0
Bubalus_bubalis	0
Capra_hircus	0
Ovis_aries	0
Odocoileus_virginianus_texanus	0
Sus_scrofa	0
Camelus_bactrianus	0
Camelus_ferus	0
Camelus_dromedarius	4.536994632042479
Carlito_syrichta	0
Ochotona_princeps	0
Oryctolagus_cuniculus	0
Sorex_araneus	0
Condylura_cristata	0
Tupaia_belangeri	0
Tupaia_chinensis	0.7067944638547488
Castor_canadensis	0
Dipodomys_ordii	0
Cricetulus_griseus	0
Mesocricetus_auratus	0
Microtus_ochrogaster	0
Peromyscus_maniculatus	0
Mus_caroli	0
Mus_musculus	0
Mus_spretus	0
Mus_pahari	0
Jaculus_jaculus	0
Nannospalax_galili	0
Cavia_aperea	0
Cavia_porcellus	0
Chinchilla_lanigera	0
Octodon_degus	0
Fukomys_damarensis	0
Heterocephalus_glaber	0
Ictidomys_tridecemlineatus	0
Marmota_marmota_marmota	0
Galeopterus_variegatus	0
Ceratotherium_simum_simum	0
Equus_asinus	0
Equus_caballus	0
Equus_przewalskii	0
Manis_javanica	0
Ailuropoda_melanoleuca	0
Ursus_maritimus	0
Enhydra_lutris_kenyoni	0
Mustela_putorius	0
Leptonychotes_weddellii	0
Neomonachus_schauinslandi	6.502520409412682e-05
Odobenus_rosmarus_divergens	0.03328870485711377
Canis_familiaris	0
Panthera_pardus	2.3095315555110574e-05
Panthera_tigris_altaica	0
Felis_catus	0
Acinonyx_jubatus	0
Ornithorhynchus_anatinus	0
