species	D
Monodelphis_domestica	2.3463588321756106
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
Cricetulus_griseus	0
Peromyscus_maniculatus	0
Microtus_ochrogaster	0
Mus_caroli	0
Mus_musculus	0
Mus_spretus	0
Mus_pahari	0
Rattus_norvegicus	0
Nannospalax_galili	0
Jaculus_jaculus	9.178766049444675e-07
Castor_canadensis	0
Dipodomys_ordii	0
Cavia_aperea	0
Cavia_porcellus	0
Chinchilla_lanigera	0
Octodon_degus	0
Fukomys_damarensis	0
Heterocephalus_glaber	0
Ictidomys_tridecemlineatus	0
Marmota_marmota_marmota	0
Ochotona_princeps	4.7031790018081665e-08
Oryctolagus_cuniculus	0
Tupaia_belangeri	6.582558853551745e-07
Tupaia_chinensis	0
Aotus_nancymaae	0
Callithrix_jacchus	0
Saimiri_boliviensis	0
Cebus_capucinus	0
Cercocebus_atys	0
Mandrillus_leucophaeus	0
Papio_anubis	0
Macaca_fascicularis	0
Macaca_mulatta	16.509626243801904
Macaca_nemestrina	0
Chlorocebus_sabaeus	0.0018307746649952605
Colobus_angolensis	0
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0
Rhinopithecus_roxellana	0
Gorilla_gorilla	5.726831263265922
Pan_paniscus	0
Pan_troglodytes	0
Homo_sapiens	0
Pongo_abelii	0
Nomascus_leucogenys	0
Carlito_syrichta	0.006027658280800097
Microcebus_murinus	0
Propithecus_coquereli	0
Otolemur_garnettii	0
Galeopterus_variegatus	0
Choloepus_hoffmanni	2.792907578856102
Dasypus_novemcinctus	0
Chrysochloris_asiatica	0
Echinops_telfairi	0
Elephantulus_edwardii	0
Loxodonta_africana	0
Trichechus_manatus_latirostris	0
Procavia_capensis	2.459273673593998e-09
Orycteropus_afer_afer	0
