species	D
Ictidomys_tridecemlineatus	0
Marmota_marmota_marmota	0
Ochotona_princeps	0
Oryctolagus_cuniculus	0
Castor_canadensis	0
Dipodomys_ordii	0
Jaculus_jaculus	0
Cricetulus_griseus	0
Mesocricetus_auratus	7.554770703110989
Peromyscus_maniculatus	0
Meriones_unguiculatus	0
Microtus_ochrogaster	0
Mus_musculus	0
Mus_spretus	0
Mus_pahari	0.3262302209950576
Rattus_norvegicus	0
Nannospalax_galili	0.6474004108313238
Cavia_aperea	12.564872353439569
Cavia_porcellus	0
Chinchilla_lanigera	0
Octodon_degus	3.5132994879677426
Fukomys_damarensis	0
Heterocephalus_glaber	0
Aotus_nancymaae	0
Cebus_capucinus	9.159339242614806e-08
Saimiri_boliviensis	0
Callithrix_jacchus	0
Cercocebus_atys	0
Mandrillus_leucophaeus	0
Colobus_angolensis	0.18903204185335198
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0
Rhinopithecus_roxellana	0
Macaca_fascicularis	0
Macaca_mulatta	0.17151154068051255
Macaca_nemestrina	0
Chlorocebus_sabaeus	0
Papio_anubis	0
Pan_paniscus	0
Pan_troglodytes	0
Gorilla_gorilla	0
Homo_sapiens	0
Nomascus_leucogenys	0
Pongo_abelii	0
Carlito_syrichta	0
Microcebus_murinus	5.0469679990783334e-08
Propithecus_coquereli	0
Otolemur_garnettii	0
Galeopterus_variegatus	0
Chrysochloris_asiatica	0
Echinops_telfairi	0
Elephantulus_edwardii	0
Loxodonta_africana	0
Trichechus_manatus_latirostris	2.549919829085411
Procavia_capensis	0
Orycteropus_afer_afer	0
Dasypus_novemcinctus	0.9364975579119346
Tupaia_belangeri	4.849470749057218
Tupaia_chinensis	0
Balaenoptera_acutorostrata_scammoni	0
Delphinapterus_leucas	0
Orcinus_orca	0
Tursiops_truncatus	0
Lipotes_vexillifer	0
Physeter_catodon	0
Bison_bison_bison	0
Bos_mutus	0
Bos_indicus	0
Bos_taurus	0
Capra_hircus	0
Ovis_aries	7.820398815572844
Pantholops_hodgsonii	0
Odocoileus_virginianus_texanus	0
Camelus_bactrianus	3.379318513907492e-07
Camelus_ferus	0
Camelus_dromedarius	4.026951501145959e-07
Vicugna_pacos	0
Sus_scrofa	0
Condylura_cristata	0.0011188547432539053
Erinaceus_europaeus	0
Sorex_araneus	0
Eptesicus_fuscus	0
Myotis_brandtii	0
Myotis_lucifugus	0
Myotis_davidii	0
Miniopterus_natalensis	0
Hipposideros_armiger	0.0018219881203549448
Rhinolophus_sinicus	0
Pteropus_alecto	0
Pteropus_vampyrus	0.11259789839823497
Rousettus_aegyptiacus	0
Ceratotherium_simum_simum	1.3249518815428019e-08
Equus_asinus	0
Equus_caballus	0
Equus_przewalskii	0
Manis_javanica	0
Canis_familiaris	0
Ailuropoda_melanoleuca	0.704389732763957
Ursus_maritimus	0
Enhydra_lutris_kenyoni	0
Mustela_putorius	24.161379122011567
Leptonychotes_weddellii	0
Neomonachus_schauinslandi	0
Odobenus_rosmarus_divergens	0
Panthera_pardus	0
Panthera_tigris_altaica	0
Felis_catus	0
Acinonyx_jubatus	0
Monodelphis_domestica	0
Sarcophilus_harrisii	1.111738993182371
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
