clients,HSP90AB1,HSPA8
ENSG00000180549,True,True
ENSG00000168447,False,True
ENSG00000168269,False,True
ENSG00000105370,True,False
ENSG00000262446,True,False
ENSG00000139988,True,True
ENSG00000160801,True,False
ENSG00000221829,False,True
ENSG00000180176,True,True
ENSG00000163161,True,True
ENSG00000135902,True,True
ENSG00000183196,True,True
ENSG00000272047,True,False
ENSG00000106397,True,False
ENSG00000101017,False,True
ENSG00000001084,True,False
ENSG00000100448,False,True
ENSG00000171100,True,False
ENSG00000188452,True,True
ENSG00000000419,True,False
ENSG00000183044,True,False
ENSG00000136872,False,True
ENSG00000101846,True,True
ENSG00000107521,True,True
ENSG00000003400,True,True
ENSG00000242110,True,True
ENSG00000163719,True,True
ENSG00000140398,False,True
ENSG00000130826,True,True
ENSG00000101255,True,True
ENSG00000172943,True,True
ENSG00000115170,True,False
ENSG00000275896,True,True
ENSG00000166548,True,True
ENSG00000124479,True,False
ENSG00000115705,False,True
ENSG00000011376,True,False
ENSG00000165140,True,False
ENSG00000137868,True,True
ENSG00000171051,True,False
ENSG00000122643,True,False
ENSG00000113263,True,True
ENSG00000122787,False,True
ENSG00000157399,True,True
ENSG00000057294,True,True
ENSG00000088926,False,True
ENSG00000255974,True,False
ENSG00000165280,False,True
ENSG00000162928,True,False
ENSG00000213619,False,True
ENSG00000102174,True,True
ENSG00000115204,True,False
ENSG00000157087,False,True
ENSG00000186010,True,True
ENSG00000174951,True,True
ENSG00000124370,False,True
ENSG00000176697,True,True
ENSG00000138435,True,True
ENSG00000087245,True,True
ENSG00000115718,False,True
ENSG00000078070,True,False
ENSG00000164266,True,False
ENSG00000172867,True,True
ENSG00000179520,True,True
ENSG00000143921,True,False
ENSG00000198610,True,True
ENSG00000169057,False,True
ENSG00000132855,True,True
ENSG00000179913,True,True
ENSG00000102103,False,True
ENSG00000142494,False,True
ENSG00000170381,True,False
ENSG00000102466,False,True
ENSG00000107290,True,False
ENSG00000100427,True,False
ENSG00000148677,False,True
ENSG00000167580,True,True
ENSG00000169255,True,False
ENSG00000093010,True,False
ENSG00000261609,True,True
ENSG00000116745,True,True
ENSG00000178952,False,True
ENSG00000100979,False,True
ENSG00000119655,True,False
ENSG00000129214,False,True
ENSG00000010671,True,True
ENSG00000187566,True,True
ENSG00000101670,True,True
ENSG00000075856,False,True
ENSG00000165973,False,True
ENSG00000109846,True,True
ENSG00000213139,True,False
ENSG00000100225,True,True
ENSG00000116701,True,False
ENSG00000131828,True,True
ENSG00000114739,True,False
ENSG00000161594,True,True
ENSG00000104763,True,True
ENSG00000073282,False,True
ENSG00000126953,True,False
ENSG00000124762,False,True
ENSG00000143171,True,True
ENSG00000092850,False,True
ENSG00000108439,True,False
ENSG00000177426,False,True
ENSG00000163297,True,True
ENSG00000170421,False,True
ENSG00000083123,True,True
ENSG00000135446,True,True
ENSG00000106692,True,False
ENSG00000177189,False,True
ENSG00000139219,True,True
ENSG00000162399,False,True
ENSG00000100604,False,True
ENSG00000131187,True,True
ENSG00000139428,False,True
ENSG00000171401,True,False
ENSG00000139567,True,True
ENSG00000012124,True,True
ENSG00000204644,False,True
ENSG00000121454,False,True
ENSG00000134830,False,True
ENSG00000204410,True,True
ENSG00000135437,True,True
ENSG00000048392,False,True
ENSG00000162949,False,True
ENSG00000111245,False,True
ENSG00000009765,True,True
ENSG00000152556,True,False
ENSG00000074582,True,True
ENSG00000160183,True,True
ENSG00000154803,False,True
ENSG00000137285,True,True
ENSG00000120437,False,True
ENSG00000152266,True,False
ENSG00000131238,False,True
ENSG00000139908,True,True
ENSG00000166947,True,True
ENSG00000196431,True,True
ENSG00000101365,True,True
ENSG00000004455,False,True
ENSG00000157764,True,True
ENSG00000134389,True,False
ENSG00000131844,True,True
ENSG00000101204,True,True
ENSG00000012061,False,True
ENSG00000233276,False,True
ENSG00000113580,True,True
ENSG00000113327,True,False
ENSG00000182389,True,True
ENSG00000188641,True,True
ENSG00000177807,False,True
ENSG00000162992,False,True
ENSG00000133661,True,False
ENSG00000140505,True,False
ENSG00000276536,True,True
ENSG00000158578,True,False
ENSG00000156873,True,True
ENSG00000166340,True,False
ENSG00000185666,True,True
ENSG00000087237,True,False
ENSG00000131096,True,False
ENSG00000134716,True,False
ENSG00000114349,True,True
ENSG00000151348,False,True
ENSG00000115415,True,True
ENSG00000100299,True,False
ENSG00000161653,True,True
ENSG00000119718,False,True
ENSG00000269058,True,True
ENSG00000196628,True,False
ENSG00000011198,True,True
ENSG00000066468,True,False
ENSG00000188996,True,True
ENSG00000277439,True,False
ENSG00000181856,True,False
ENSG00000152661,True,True
ENSG00000137869,True,True
ENSG00000105711,True,True
ENSG00000068305,True,True
ENSG00000155256,False,True
ENSG00000128274,True,False
ENSG00000164010,True,True
ENSG00000141510,True,True
ENSG00000141499,False,True
ENSG00000254647,True,False
ENSG00000147869,True,False
ENSG00000090339,True,False
ENSG00000170122,True,True
ENSG00000123454,False,True
ENSG00000116039,True,True
ENSG00000172922,True,True
ENSG00000168646,True,True
ENSG00000123240,True,True
ENSG00000030304,True,True
ENSG00000087460,False,True
ENSG00000133028,True,False
ENSG00000243649,False,True
ENSG00000129991,True,False
ENSG00000154764,True,False
ENSG00000141551,True,True
ENSG00000142208,True,False
ENSG00000111046,True,True
ENSG00000153574,False,True
ENSG00000028137,False,True
ENSG00000144852,True,True
ENSG00000115211,True,True
ENSG00000010704,True,True
ENSG00000069011,False,True
ENSG00000087299,True,True
ENSG00000007312,True,False
ENSG00000073060,True,True
ENSG00000138686,True,True
ENSG00000164344,True,True
ENSG00000161905,True,True
ENSG00000166347,True,True
ENSG00000256525,False,True
ENSG00000145675,True,False
ENSG00000112761,False,True
ENSG00000108370,True,False
ENSG00000228582,True,True
ENSG00000130598,False,True
ENSG00000126267,True,True
ENSG00000129221,True,True
ENSG00000164093,True,True
ENSG00000171953,False,True
ENSG00000100033,True,True
ENSG00000159251,False,True
ENSG00000094963,True,True
ENSG00000159261,False,True
ENSG00000109424,True,True
ENSG00000092529,False,True
ENSG00000145839,True,True
ENSG00000156313,True,True
ENSG00000054523,True,True
ENSG00000186204,True,True
ENSG00000125675,True,False
ENSG00000171759,True,True
ENSG00000197408,True,True
ENSG00000203747,True,True
ENSG00000123999,True,True
ENSG00000205420,True,True
ENSG00000106327,True,True
ENSG00000135697,True,True
ENSG00000130948,True,True
ENSG00000147044,True,True
ENSG00000198959,True,True
ENSG00000114956,True,False
ENSG00000169814,True,True
ENSG00000175198,True,True
ENSG00000143257,True,True
ENSG00000084754,True,False
ENSG00000121270,True,True
ENSG00000132386,True,True
ENSG00000162946,True,True
ENSG00000214274,True,False
ENSG00000122859,False,True
ENSG00000176749,False,True
ENSG00000166682,True,True
ENSG00000131095,False,True
ENSG00000118503,False,True
ENSG00000143627,True,False
ENSG00000096093,False,True
ENSG00000100344,True,True
ENSG00000122145,True,True
ENSG00000083444,False,True
ENSG00000164405,True,False
ENSG00000197696,True,True
ENSG00000274726,True,True
ENSG00000141076,True,True
ENSG00000175567,True,True
ENSG00000087086,False,True
ENSG00000164756,True,False
ENSG00000136931,False,True
ENSG00000184908,True,True
ENSG00000162552,False,True
ENSG00000165409,False,True
ENSG00000125378,True,True
ENSG00000196811,True,False
ENSG00000117360,True,True
ENSG00000073578,False,True
ENSG00000106100,True,True
ENSG00000101162,True,True
ENSG00000137338,True,True
ENSG00000174405,True,False
ENSG00000134086,True,True
ENSG00000134371,False,True
ENSG00000106003,True,True
ENSG00000242515,True,False
ENSG00000204311,True,True
ENSG00000092330,True,True
ENSG00000134574,True,True
ENSG00000166949,False,True
ENSG00000090776,False,True
ENSG00000114859,True,True
ENSG00000115286,False,True
ENSG00000038945,True,True
ENSG00000165917,True,True
ENSG00000114491,False,True
ENSG00000162267,True,True
ENSG00000169297,True,True
ENSG00000198523,False,True
ENSG00000185379,False,True
ENSG00000012779,True,True
ENSG00000144191,True,True
ENSG00000118046,True,True
ENSG00000178802,True,True
ENSG00000175445,True,False
ENSG00000115380,False,True
ENSG00000174697,True,False
ENSG00000113966,True,False
ENSG00000066926,True,True
ENSG00000049130,True,False
ENSG00000102125,False,True
ENSG00000140465,True,True
ENSG00000172466,False,True
ENSG00000197891,False,True
ENSG00000007168,True,False
ENSG00000166828,True,True
ENSG00000170175,False,True
ENSG00000115592,True,True
ENSG00000168685,False,True
ENSG00000114378,True,False
ENSG00000180902,False,True
ENSG00000077800,True,True
ENSG00000117118,False,True
ENSG00000148290,True,True
ENSG00000167642,True,False
ENSG00000117593,True,False
ENSG00000163513,True,True
ENSG00000136944,True,True
ENSG00000170917,False,True
ENSG00000114054,True,True
ENSG00000214160,True,True
ENSG00000122971,False,True
ENSG00000137745,True,True
ENSG00000105221,True,False
ENSG00000186115,True,False
ENSG00000158290,True,True
ENSG00000166068,True,True
ENSG00000159248,True,True
ENSG00000198331,True,True
ENSG00000187486,False,True
ENSG00000110090,True,True
