clients,HSP90AB1,HSPA8
ENSG00000114349,True,True
ENSG00000134086,False,True
ENSG00000167642,True,False
ENSG00000100344,True,True
ENSG00000164405,True,False
ENSG00000057294,True,False
ENSG00000165917,True,True
ENSG00000111670,True,False
ENSG00000169814,True,False
ENSG00000171100,True,False
ENSG00000105088,True,False
ENSG00000139908,True,True
ENSG00000144852,True,True
ENSG00000011198,False,True
ENSG00000131828,False,True
ENSG00000167792,True,True
ENSG00000205420,True,True
ENSG00000143921,True,False
ENSG00000156313,True,False
ENSG00000126267,True,False
ENSG00000140505,True,False
ENSG00000214274,True,False
ENSG00000134574,True,True
ENSG00000261609,True,True
ENSG00000145020,True,True
ENSG00000003400,True,False
ENSG00000157764,True,False
ENSG00000228582,False,True
ENSG00000100225,False,True
ENSG00000147465,False,True
ENSG00000094914,True,True
ENSG00000122145,True,True
ENSG00000010671,True,False
ENSG00000169692,True,True
ENSG00000136944,True,False
ENSG00000204311,True,True
ENSG00000162946,False,True
ENSG00000113580,True,True
ENSG00000163501,True,True
ENSG00000186010,True,True
ENSG00000167580,True,False
ENSG00000101162,True,True
ENSG00000001084,True,False
ENSG00000115592,True,True
ENSG00000113108,False,True
ENSG00000276536,False,True
ENSG00000172867,True,False
ENSG00000138686,True,True
ENSG00000123297,True,False
ENSG00000137869,False,True
ENSG00000087299,True,False
ENSG00000169836,True,False
ENSG00000117593,True,False
ENSG00000198947,True,False
ENSG00000101115,False,True
ENSG00000105711,False,True
ENSG00000141510,False,True
ENSG00000171759,True,True
ENSG00000108395,True,True
ENSG00000113263,True,True
ENSG00000145863,True,False
ENSG00000137338,True,True
ENSG00000114739,True,False
ENSG00000030304,True,False
ENSG00000012124,True,True
ENSG00000139988,True,False
ENSG00000119401,True,False
ENSG00000143257,True,True
ENSG00000101306,True,True
ENSG00000166947,True,True
ENSG00000174483,True,True
ENSG00000101144,True,True
ENSG00000087245,True,True
ENSG00000144191,True,False
ENSG00000118520,True,False
ENSG00000092330,True,False
ENSG00000156873,True,True
ENSG00000112357,True,True
ENSG00000171953,False,True
ENSG00000104763,True,False
ENSG00000161594,True,True
ENSG00000135697,False,True
ENSG00000142208,True,False
ENSG00000162552,False,True
ENSG00000118702,True,False
ENSG00000139219,True,True
ENSG00000170122,True,True
ENSG00000188452,True,False
ENSG00000180902,False,True
ENSG00000161653,False,True
ENSG00000108370,True,False
ENSG00000077800,True,False
ENSG00000175198,True,False
ENSG00000135902,True,True
ENSG00000116745,True,True
ENSG00000101365,True,True
ENSG00000101255,False,True
ENSG00000011376,True,False
ENSG00000106100,True,True
ENSG00000118503,False,True
ENSG00000196431,False,True
ENSG00000147044,True,False
ENSG00000158290,True,False
ENSG00000148290,False,True
ENSG00000139567,True,False
ENSG00000187566,True,True
ENSG00000100033,True,True
ENSG00000198331,True,False
ENSG00000198959,True,True
ENSG00000107290,True,False
ENSG00000126953,True,False
ENSG00000140465,True,False
ENSG00000166682,True,True
ENSG00000141551,True,False
ENSG00000167434,False,True
ENSG00000101846,True,False
ENSG00000118046,True,True
ENSG00000131187,True,True
ENSG00000160183,True,True
ENSG00000000419,True,False
ENSG00000110090,True,False
ENSG00000131844,True,False
ENSG00000109424,True,True
ENSG00000100979,False,True
ENSG00000115204,True,False
ENSG00000167772,True,True
ENSG00000076242,True,False
ENSG00000130826,True,True
ENSG00000176749,False,True
ENSG00000196338,False,True
ENSG00000025434,True,True
ENSG00000166035,True,False
ENSG00000169297,True,False
ENSG00000242110,True,True
ENSG00000054523,False,True
ENSG00000091010,False,True
ENSG00000083123,True,True
ENSG00000012779,True,True
ENSG00000152661,True,False
ENSG00000004455,False,True
ENSG00000145839,True,False
ENSG00000135446,True,True
ENSG00000172922,False,True
ENSG00000130948,True,True
ENSG00000161905,True,True
ENSG00000114859,True,True
ENSG00000188996,True,True
ENSG00000177189,False,True
ENSG00000074582,True,False
ENSG00000162267,True,False
ENSG00000204410,True,True
ENSG00000178802,True,True
ENSG00000115211,True,True
ENSG00000186204,True,False
ENSG00000162992,False,True
ENSG00000197408,True,False
ENSG00000171608,True,True
ENSG00000094963,True,True
ENSG00000106003,False,True
ENSG00000149418,True,True
ENSG00000163513,True,True
ENSG00000100299,True,False
ENSG00000233276,False,True
ENSG00000068305,True,False
ENSG00000059377,True,True
ENSG00000166828,True,False
ENSG00000166347,True,False
ENSG00000164266,True,False
ENSG00000105221,True,False
ENSG00000180176,True,False
ENSG00000163161,True,False
ENSG00000073060,False,True
ENSG00000168269,False,True
ENSG00000187486,False,True
ENSG00000198610,True,False
ENSG00000214160,True,True
ENSG00000066468,True,False
ENSG00000119655,True,False
ENSG00000009765,False,True
ENSG00000284194,False,True
ENSG00000274726,True,True
ENSG00000096093,False,True
ENSG00000038945,True,True
