EnsemlID,WT_interaction_score
ENSG00000128274,1.921742699
ENSG00000094914,12.51179277
ENSG00000183044,1.34744608
ENSG00000121270,1.330859332
ENSG00000143921,3.345605815
ENSG00000011198,2.586181366
ENSG00000117054,0.501612208
ENSG00000122971,0.21597431
ENSG00000196177,-0.775133363
ENSG00000075239,0.987846633
ENSG00000120437,-0.182843751
ENSG00000005187,0.52536907
ENSG00000075624,-0.433763019
ENSG00000159251,0.408268782
ENSG00000184009,-0.003608261
ENSG00000077522,0.348314051
ENSG00000130402,-1.352360527
ENSG00000115170,2.230092324
ENSG00000114739,16.65618117
ENSG00000139567,6.135880858
ENSG00000243989,-1.195618015
ENSG00000163050,0.009947247
ENSG00000163050,0.427766544
ENSG00000248144,0.280744919
ENSG00000181092,0.112964251
ENSG00000282608,1.310185792
ENSG00000169252,-2.261093486
ENSG00000038002,-0.898094742
ENSG00000231268,0.652514463
ENSG00000169692,5.817343768
ENSG00000159723,-1.389843036
ENSG00000135744,-0.21393392
ENSG00000172482,-0.114215516
ENSG00000101444,-1.592477749
ENSG00000145192,-0.406745752
ENSG00000129221,2.785732757
ENSG00000004455,-0.713255105
ENSG00000196139,-0.516644676
ENSG00000198610,4.481761596
ENSG00000122787,0.89410043
ENSG00000142208,4.150478023
ENSG00000105221,5.222818053
ENSG00000158578,2.439140209
ENSG00000072210,1.882833111
ENSG00000159423,-0.119430776
ENSG00000119711,-0.528488385
ENSG00000149925,0.309911485
ENSG00000136872,-1.336232111
ENSG00000182858,0.280237976
ENSG00000214160,12.27151582
ENSG00000161905,6.741882228
ENSG00000012779,9.08473174
ENSG00000242110,13.82751737
ENSG00000133805,-0.423641526
ENSG00000145020,3.45855334
ENSG00000214274,4.764503671
ENSG00000132855,2.447928373
ENSG00000167772,8.819795159
ENSG00000148677,-0.147621651
ENSG00000163297,2.65080267
ENSG00000122359,-1.299103767
ENSG00000113108,1.695910149
ENSG00000100823,-0.47409274
ENSG00000118137,-1.091826708
ENSG00000110245,-1.358985504
ENSG00000189058,-1.081583688
ENSG00000091583,0.958725206
ENSG00000198931,0.780819573
ENSG00000137074,-0.718963419
