Human Chimpanzee Gorilla Orangutan Macaque
ENSG00000140623 ENSPTRG00000007728 ENSGGOG00000007528 ENSPPYG00000007070 ENSMMUG00000017945
ENSG00000114841 ENSPTRG00000014996 ENSGGOG00000015852 ENSPPYG00000013810 ENSMMUG00000016974
ENSG00000174279 ENSPTRG00000012663 ENSGGOG00000001335 ENSPPYG00000012955 ENSMMUG00000023499
ENSG00000175189 ENSPTRG00000005130 ENSGGOG00000022398 ENSPPYG00000004687 ENSMMUG00000031822
ENSG00000065883 ENSPTRG00000019112 ENSGGOG00000007884 ENSPPYG00000017618 ENSMMUG00000018064
ENSG00000070614 ENSPTRG00000017419 ENSGGOG00000013713 ENSPPYG00000015951 ENSMMUG00000005414
ENSG00000101126 ENSPTRG00000013623 ENSGGOG00000003120 ENSPPYG00000011130 ENSMMUG00000002761
ENSG00000168487 ENSPTRG00000020054 ENSGGOG00000007281 ENSPPYG00000018417 ENSMMUG00000013031
ENSG00000108622 ENSPTRG00000009534 ENSGGOG00000014108 ENSPPYG00000008538 ENSMMUG00000014656
ENSG00000169877 ENSPTRG00000008051 ENSGGOG00000013769 ENSPPYG00000007726 ENSMMUG00000000901
ENSG00000215440 ENSPTRG00000033985 ENSGGOG00000012505 ENSPPYG00000011176 ENSMMUG00000010006
ENSG00000029559 ENSPTRG00000016263 ENSGGOG00000007024 ENSPPYG00000014918 ENSMMUG00000011111
ENSG00000168334 ENSPTRG00000014770 ENSGGOG00000016588 ENSPPYG00000013997 ENSMMUG00000020150
ENSG00000179362 ENSPTRG00000007037 ENSGGOG00000009411 ENSPPYG00000006448 ENSMMUG00000022427
ENSG00000172247 ENSPTRG00000003572 ENSGGOG00000014403 ENSPPYG00000003297 ENSMMUG00000004294
ENSG00000182220 ENSPTRG00000021803 ENSGGOG00000000532 ENSPPYG00000020251 ENSMMUG00000012762
ENSG00000171241 ENSPTRG00000008078 ENSGGOG00000010926 ENSPPYG00000007733 ENSMMUG00000012376
