"genes" "slopes" "intercept" "p_val_slope" "p_val_intercept" "number_of_species"
"1" "dN.dS_ENSG00000166181" 9.68589448740594e-06 0.023428474157518 0.0122977725208912 0.0578637792168434 47
"2" "dN.dS_ENSG00000108671" 5.48274847810911e-06 0.0337666653869002 0.536598024294342 0.257757169499564 19
"3" "dN.dS_ENSG00000076108" -6.4290105030675e-07 0.20172867684962 0.711682477774157 2.26326820672631e-36 59
"4" "dN.dS_ENSG00000140153" 7.36185810943775e-06 0.042676761588241 0.100248968804439 0.0187603044638199 55
"5" "dN.dS_ENSG00000172262" -1.5014455132177e-07 0.0870780807695941 0.964706811651766 1.59156217521563e-08 59
"6" "dN.dS_ENSG00000123200" 1.14629094680797e-05 0.0736183328380531 5.37405567621536e-06 3.18619367408749e-12 58
"7" "dN.dS_ENSG00000153560" 6.55819253533965e-05 -0.0255909240325313 3.00508790029799e-05 0.641992364765901 59
"8" "dN.dS_ENSG00000143393" 1.98355732664654e-05 -0.00353778951176018 9.15919645756329e-06 0.82084548076342 65
"9" "dN.dS_ENSG00000157450" -1.18265793693262e-06 0.0997839929783835 0.404733708675369 5.01266203882203e-27 66
"10" "dN.dS_ENSG00000198910" -4.5398880418481e-07 0.0777946723172592 0.820636296727828 4.78497562681525e-15 63
"11" "dN.dS_ENSG00000014641" 2.46884741815385e-05 0.0894022387931652 0.00126643344467219 0.00278972253055989 57
"12" "dN.dS_ENSG00000137845" 5.45282799819881e-06 0.0519487981125812 0.074761071456689 4.0497191327126e-06 51
"13" "dN.dS_ENSG00000090975" 2.33766163453699e-06 0.0537812074002522 0.313537013536598 3.2766571426877e-07 52
"14" "dN.dS_ENSG00000173757" 1.68180217086119e-05 0.0144627050183274 0.000406148071393162 0.42330903444635 55
"15" "dN.dS_ENSG00000175115" 1.17227984457588e-05 0.0220532212492223 0.000862251364977656 0.0829268394483861 59
"16" "dN.dS_ENSG00000121274" 4.02466985678306e-05 0.0711266498150387 1.87568154667172e-05 0.019707520671958 54
"17" "dN.dS_ENSG00000168610" 3.60018834921937e-05 -0.0422267109477117 2.69233673822231e-08 0.0457442767882583 43
"18" "dN.dS_ENSG00000198822" 1.17098780938244e-05 0.0121193924398553 4.84505729812237e-05 0.25122101968836 60
"19" "dN.dS_ENSG00000104388" 2.33437574084551e-05 0.0124496987632497 1.43451774941632e-05 0.493631651450724 34
"20" "dN.dS_ENSG00000100505" 1.21606792493586e-05 0.0163871496818147 1.09539824315986e-06 0.0626481082329475 67
"21" "dN.dS_ENSG00000138757" -2.10268529243148e-06 0.0391979978358218 0.68224102137589 0.0170094285493742 48
"22" "dN.dS_ENSG00000155545" 8.29871278985756e-06 0.0496357497206546 0.000374288092151108 1.04730786734264e-07 63
"23" "dN.dS_ENSG00000073584" 1.88501768528136e-05 0.0188535623360023 3.14964866918675e-06 0.15286904819614 36
"24" "dN.dS_ENSG00000205323" 1.67367682166821e-05 0.0927094897330378 0.0766533952001797 0.00418771986722146 47
"25" "dN.dS_ENSG00000104885" 4.83175629921695e-06 0.0774707523773162 0.00124198398287611 1.85184018864297e-20 60
"26" "dN.dS_ENSG00000094880" 4.31888498027518e-06 0.0406037863426294 0.0109057290170663 2.27157563268447e-08 62
"27" "dN.dS_ENSG00000157193" 1.34138217713533e-05 0.116039478231889 3.94192093845652e-07 4.71528167483292e-18 59
"28" "dN.dS_ENSG00000155096" 5.16944781534483e-06 0.119178103133465 0.159184405095294 4.68404872634014e-13 53
"29" "dN.dS_ENSG00000125952" 5.17157644874862e-05 0.0265831164465848 0.000861524515215335 0.545213314317829 30
"30" "dN.dS_ENSG00000105705" 3.39054130594025e-07 0.079434939539136 0.865669394963641 4.7124660394891e-14 59
"31" "dN.dS_ENSG00000126457" 1.55780598260954e-05 -0.00482244786678371 0.00413372244936588 0.803869411926752 31
"32" "dN.dS_ENSG00000173889" 3.39360896529706e-05 0.0111918163244289 0.000420239033586635 0.748455110493001 65
"33" "dN.dS_ENSG00000149930" 8.74448794833248e-06 0.074256869406694 0.0158630516006967 5.99659392726852e-07 64
"34" "dN.dS_ENSG00000163462" -6.60989641105815e-07 0.0390940232719255 0.742976869047622 1.62983516830783e-06 62
"35" "dN.dS_ENSG00000130826" 7.22208225172015e-07 0.0983628431159537 0.812889270429891 7.75253200485236e-12 56
"36" "dN.dS_ENSG00000102230" 1.15619876970534e-05 0.0190232768337412 0.0111225083197112 0.207797709339921 60
"37" "dN.dS_ENSG00000175387" 9.25066123446125e-06 0.00685882875536674 0.174605656876755 0.691049802277251 28
"38" "dN.dS_ENSG00000113387" 1.14319594911686e-05 0.0392679109217987 0.250148652349411 0.156976035794566 37
"39" "dN.dS_ENSG00000153201" 1.60414868817721e-05 0.138166447825123 2.96698339342278e-06 5.81362116407578e-19 55
"40" "dN.dS_ENSG00000148835" 2.16511840907347e-05 0.0511464055558695 0.000688703659808297 0.0267279681976344 59
"41" "dN.dS_ENSG00000097007" 7.14413884169575e-07 0.0850895050451826 0.652074965548315 1.43167926267011e-19 58
"42" "dN.dS_ENSG00000189221" 9.51617346968402e-07 0.137349651779254 0.601203935698687 1.32182954635171e-27 61
"43" "dN.dS_ENSG00000150753" 7.35687485157387e-06 0.0144041002763279 0.138618751372297 0.339648536462851 41
"44" "dN.dS_ENSG00000184863" 6.92894488003639e-06 0.107615413780003 0.0183081253067835 2.33244553062215e-12 51
"45" "dN.dS_ENSG00000145604" 2.41866215289163e-05 0.113698978565272 3.10301920298172e-05 6.83659659423724e-07 59
