"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","hspb6  (ENSAPOG00000020981)Compare Regions (MVNR01000484.1:363,038-364,445:1)View Sequence Alignments","n/a","38.62 %","35.00 %","25","n/a","No"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","HSPB6  (ENSAMEG00000000640)Compare Regions (GL192794.1:760,673-762,344:-1)View Sequence Alignments","0.10643","78.14 %","89.38 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","hspb6  (ENSACIG00000018755)Compare Regions (CCOE01000370.1:3,705,664-3,706,452:1)View Sequence Alignments","n/a","40.85 %","36.25 %","25","n/a","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","hspb6  (ENSAOCG00000000294)Compare Regions (NXFZ01003211.1:421,343-424,129:-1)View Sequence Alignments","n/a","38.62 %","35.00 %","25","n/a","No"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","hspb6  (ENSAPEG00000014923)Compare Regions (7:8,304,729-8,307,458:1)View Sequence Alignments","n/a","38.62 %","35.00 %","50","n/a","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","hspb6  (ENSATEG00000009135)Compare Regions (OOHO01000006.1:33,358,865-33,361,006:1)View Sequence Alignments","n/a","37.93 %","34.38 %","50","46.89","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","ENSACAG00000016645Compare Regions (GL343276.1:1,462,581-1,471,512:-1)View Sequence Alignments","n/a","54.91 %","59.38 %","25","35.21","No"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","HSPB6  (ENSANAG00000024500)Compare Regions (KZ203424.1:3,121,853-3,123,348:1)View Sequence Alignments","0.12563","95.06 %","96.25 %","100","100.00","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","hspb6  (ENSACLG00000000446)Compare Regions (11:16,955,263-16,957,686:-1)View Sequence Alignments","n/a","30.61 %","37.50 %","25","n/a","No"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","hspb6  (ENSAMXG00000035542)Compare Regions (APWO02002057.1:154,106-156,065:1)View Sequence Alignments","n/a","32.16 %","34.38 %","25","n/a","No"
"Pachon cavefish (Astyanax mexicanus)","1-to-1View Gene Tree","hspb6  (ENSAMXG00005004125)Compare Regions (KB872169.1:89,886-91,385:-1)View Sequence Alignments","n/a","32.16 %","34.38 %","25","n/a","No"
"Siamese fighting fish (Betta splendens)","1-to-1View Gene Tree","hspb6  (ENSBSLG00000014442)Compare Regions (16:15,243,655-15,244,373:1)View Sequence Alignments","n/a","42.07 %","38.12 %","25","n/a","No"
"American bison (Bison bison bison)","1-to-1View Gene Tree","HSPB6  (ENSBBBG00000006055)Compare Regions (KN264995.1:4,477,520-4,479,134:-1)View Sequence Alignments","0.07533","89.63 %","91.88 %","100","100.00","Yes"
"Hybrid - Bos Indicus (Bos indicus x Bos taurus)","1-to-1View Gene Tree","HSPB6  (ENSBIXG00005009539)Compare Regions (18:19,416,537-19,419,160:1)View Sequence Alignments","0.07533","62.55 %","91.88 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","HSPB6  (ENSBMUG00000017326)Compare Regions (JH883137.1:453,631-455,255:-1)View Sequence Alignments","0.08016","89.02 %","91.25 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","HSPB6  (ENSBTAG00000018598)Compare Regions (18:46,466,912-46,469,531:-1)View Sequence Alignments","0.07533","74.24 %","91.88 %","100","100.00","Yes"
