"genes" "slopes" "intercept" "p_val_slope" "p_val_intercept" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err"
"1" "dN.dS_ENSG00000166181" 0.450238322785673 5.36702334129684e-18 0.0184429182660889 1 27 0.202714547304856 0.170823129197051 0.910591495020105
"2" "dN.dS_ENSG00000076108" 0.0745795248667068 1.50797524645282e-16 0.656318252198252 0.999999999999999 38 0.00556210552934374 -0.0220611693170631 1.01097040971389
"3" "dN.dS_ENSG00000140153" 0.428412380407167 8.26977417180709e-17 0.0144329559273834 1 32 0.183537167686136 0.15632173994234 0.918519602435168
"4" "dN.dS_ENSG00000172262" 0.039835524540222 7.50466609053515e-17 0.823006764945802 1 34 0.00158686901539463 -0.0296135413278742 1.01469874412452
"5" "dN.dS_ENSG00000123200" 0.586349825364578 1.8696986139973e-16 0.000171286033381178 0.999999999999999 36 0.343806117705071 0.324506297637573 0.821884239027874
"6" "dN.dS_ENSG00000153560" 0.475874946104713 9.47364421917762e-17 0.00385924192755335 1 35 0.226456964330163 0.203016266279562 0.892739454555716
"7" "dN.dS_ENSG00000143393" 0.412008623831105 -8.58001062816239e-17 0.0101627062229019 1 38 0.169751106111201 0.146688636836512 0.923748538923601
"8" "dN.dS_ENSG00000157450" 0.0661623403329223 8.93697522164935e-18 0.693093347614282 1 38 0.00437745527832944 -0.0232787265194947 1.0115724030041
"9" "dN.dS_ENSG00000198910" -0.296254813150364 1.18732388409619e-16 0.0709157599874266 0.999999999999999 38 0.0877669143147573 0.0624271063790562 0.968283477924179
"10" "dN.dS_ENSG00000014641" 0.250842402571382 -1.04688843881104e-16 0.152448698616894 1 34 0.0629219109277835 0.0336382206442767 0.98303701830385
"11" "dN.dS_ENSG00000137845" -0.18578180013382 -1.03531053821622e-16 0.334598421094528 1 29 0.0345148772609626 -0.00124383098863134 1.00062172222505
"12" "dN.dS_ENSG00000090975" 0.0894716224197059 -3.95096398952013e-18 0.626279743219857 1 32 0.00800517121841443 -0.0250613230743053 1.01245312142059
"13" "dN.dS_ENSG00000173757" 0.353609628451842 -1.34655733168863e-17 0.0402113818747352 1 34 0.12503976933385 0.0976972621255326 0.949896172154866
"14" "dN.dS_ENSG00000175115" 0.401190982494444 9.01224328618134e-17 0.0169129817552032 1 35 0.160954204434858 0.135528574266217 0.929769555176864
