"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","si:ch211-233m11.2  (ENSAPOG00000018844)Compare Regions (MVNR01000078.1:896,990-913,774:1)View Sequence Alignments","n/a","59.84 %","56.81 %","0","85.15","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","XPO5  (ENSAMEG00000012197)Compare Regions (GL192391.1:1,519,520-1,564,399:1)View Sequence Alignments","0.12002","94.27 %","94.35 %","75","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","si:ch211-233m11.2  (ENSACIG00000020796)Compare Regions (CCOE01000564.1:1,470,814-1,485,786:-1)View Sequence Alignments","n/a","61.47 %","59.63 %","0","88.95","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","si:ch211-233m11.2  (ENSAOCG00000004757)Compare Regions (NXFZ01006332.1:204,075-220,859:-1)View Sequence Alignments","n/a","59.93 %","55.40 %","0","85.40","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","si:ch211-233m11.2  (ENSAPEG00000012728)Compare Regions (20:10,530,915-10,547,711:-1)View Sequence Alignments","n/a","59.84 %","56.06 %","0","84.98","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","si:ch211-233m11.2  (ENSATEG00000002222)Compare Regions (OOHO01000014.1:11,195,814-11,204,601:1)View Sequence Alignments","n/a","62.33 %","61.30 %","0","86.33","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","XPO5  (ENSAPLG00000001469)Compare Regions (3:34,433,661-34,456,945:1)View Sequence Alignments","n/a","84.16 %","70.18 %","75","89.79","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","XPO5  (ENSACAG00000009808)Compare Regions (1:230,969,708-231,021,048:1)View Sequence Alignments","n/a","79.77 %","79.57 %","75","96.46","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","XPO5  (ENSABRG00000019302)Compare Regions (NXHY01000065.1:1,848,069-1,875,746:-1)View Sequence Alignments","n/a","84.25 %","83.97 %","75","99.59","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","XPO5  (ENSANAG00000029648)Compare Regions (KZ202947.1:3,617,024-3,663,687:1)View Sequence Alignments","0.10740","98.50 %","98.50 %","75","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","XPO5  (ENSAHAG00000017134)Compare Regions (PTFD01000098.1:1,344,583-1,373,706:-1)View Sequence Alignments","n/a","83.30 %","78.32 %","75","97.92","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","XPO5  (ENSAOWG00000003568)Compare Regions (PTFC01000300.1:107,856-136,856:-1)View Sequence Alignments","n/a","83.13 %","78.16 %","75","97.92","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","XPO5  (ENSARWG00000004460)Compare Regions (PTFB01000055.1:2,545,329-2,574,394:-1)View Sequence Alignments","n/a","83.30 %","78.32 %","75","97.92","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","si:ch211-233m11.2  (ENSACLG00000011682)Compare Regions (13:15,165,835-15,180,400:1)View Sequence Alignments","n/a","60.67 %","58.55 %","0","87.07","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","XPO5  (ENSAMXG00000005187)Compare Regions (21:21,396,117-21,412,983:1)View Sequence Alignments","n/a","64.20 %","46.93 %","0","75.16","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","ENSAMXG00000033489Compare Regions (APWO02001056.1:34,530-45,132:-1)View Sequence Alignments","n/a","60.33 %","27.66 %","25","n/a","No"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","ENSAMXG00000043273Compare Regions (APWO02001056.1:22,914-31,386:-1)View Sequence Alignments","n/a","50.22 %","9.47 %","25","14.39","No"
"American bison (Bison bison bison)","1-to-1View Gene Tree","XPO5  (ENSBBBG00000018959)Compare Regions (KN265182.1:7,761,351-7,804,692:1)View Sequence Alignments","0.09723","94.52 %","94.52 %","75","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","XPO5  (ENSBMUG00000012108)Compare Regions (JH881611.1:2,182,475-2,225,047:1)View Sequence Alignments","0.09653","94.50 %","94.27 %","75","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","XPO5  (ENSBTAG00000018970)Compare Regions (23:17,071,458-17,118,839:-1)View Sequence Alignments","0.11380","93.67 %","93.36 %","75","100.00","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","XPO5  (ENSCPUG00000002253)Compare Regions (KQ482239.1:17,112,912-17,142,630:1)View Sequence Alignments","n/a","76.63 %","84.14 %","75","98.46","Yes"
