"genes" "slopes" "p_val_slope" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err"
"1" "dN.dS_ENSG00000076108" 4.33391210960737e-05 4.90492695995805e-11 38 0.69342139073615 0.685135482377668 0.113981661101967
"2" "dN.dS_ENSG00000140153" 2.01957719936569e-05 4.76113483481496e-06 32 0.496178676499291 0.479926375741203 0.0847966674842979
"3" "dN.dS_ENSG00000172262" 1.85755024767924e-05 4.92516505095543e-06 35 0.463303242648809 0.447518043903185 0.0827576650211297
"4" "dN.dS_ENSG00000123200" 2.96428531443971e-05 9.547082550365e-16 35 0.85359332359042 0.849287244872491 0.0435343823948348
"5" "dN.dS_ENSG00000153560" 3.77295595144534e-05 7.30064816523524e-10 33 0.699516880720185 0.690126783242691 0.0944470622829413
"6" "dN.dS_ENSG00000143393" 1.25866372149721e-05 5.27990828992543e-08 38 0.555339894435812 0.543322053744888 0.0448581020360353
"7" "dN.dS_ENSG00000157450" 2.14086045349536e-05 7.39427949954695e-12 38 0.722936617872054 0.715448418355083 0.0535098381270605
"8" "dN.dS_ENSG00000198910" 1.43553490506174e-05 4.20731799195995e-07 38 0.503742202859434 0.490329829963743 0.0566552302134471
"9" "dN.dS_ENSG00000014641" 4.0790961843539e-05 3.00377293663954e-07 36 0.532341917557863 0.518980258059517 0.156625644236313
"10" "dN.dS_ENSG00000173757" 1.59794946004481e-05 1.05187091738528e-06 34 0.519286773126356 0.504719705645336 0.0633285956216832
"11" "dN.dS_ENSG00000175115" 1.54170156519757e-05 5.39197765791381e-06 34 0.470651634441344 0.45461077487896 0.0629632971035659
"12" "dN.dS_ENSG00000121274" 6.40150889969224e-05 7.96985638762708e-11 32 0.749173401188909 0.7410822205821 0.140087835005029
"13" "dN.dS_ENSG00000198822" 1.01097885458498e-05 2.16001428748712e-12 37 0.750252645030963 0.743315218504045 0.0236412355074939
"14" "dN.dS_ENSG00000100505" 1.38653837900264e-05 1.45750959802433e-10 37 0.685151013607118 0.676405208429538 0.037941582147781
"15" "dN.dS_ENSG00000155545" 1.73629579181212e-05 2.55720644276435e-11 36 0.724025422769814 0.716140434848952 0.0410509357975694
"16" "dN.dS_ENSG00000104885" 1.9493888811783e-05 1.02566497351972e-10 36 0.701478431121526 0.692949243439284 0.0499004191108783
"17" "dN.dS_ENSG00000094880" 1.36125888316648e-05 2.78365061575566e-09 38 0.61969719519891 0.609418741015097 0.0423112011040716
"18" "dN.dS_ENSG00000157193" 3.90751768843663e-05 2.42838833404172e-13 34 0.807251651126014 0.801410792069226 0.0786823637932073
"19" "dN.dS_ENSG00000155096" 3.27835853394596e-05 1.01021404915602e-09 32 0.705049262265758 0.695534722338847 0.079338759269079
"20" "dN.dS_ENSG00000105705" 1.82800702233496e-05 5.93736492459879e-09 36 0.624709685134348 0.613987104709615 0.0583039285319514
"21" "dN.dS_ENSG00000173889" 2.12470670531438e-05 2.6183203441849e-09 38 0.620934953058681 0.610689951789997 0.0665555299024727
"22" "dN.dS_ENSG00000149930" 2.74391567288988e-05 3.19850855632368e-10 38 0.661125262410838 0.651966485719239 0.0775064877367346
"23" "dN.dS_ENSG00000163462" 7.75331088491073e-06 2.01361405489914e-07 37 0.532509856227863 0.519524018900859 0.029313978149762
"24" "dN.dS_ENSG00000102230" 1.81417286515165e-05 4.83850748742612e-06 35 0.463846819902088 0.448077608722737 0.0734274891093234
"25" "dN.dS_ENSG00000153201" 5.0341886942707e-05 1.4366011885061e-13 33 0.822893678801002 0.817359106263533 0.0854113894424614
"26" "dN.dS_ENSG00000148835" 3.28797406050789e-05 4.4310481106246e-06 33 0.487357433198947 0.471337352986414 0.128941616548517
"27" "dN.dS_ENSG00000097007" 1.90646019635553e-05 8.3453840294671e-10 35 0.674708316279806 0.665140913817447 0.0542132941589181
"28" "dN.dS_ENSG00000189221" 3.05691723601861e-05 4.61747856775922e-10 37 0.664584149389601 0.655267042428201 0.0863294844089113
"29" "dN.dS_ENSG00000145604" 4.85683217470201e-05 4.01992512680452e-12 35 0.761549742574719 0.75453649970927 0.11001925545048
"30" "dN.dS_ENSG00000151553" 2.26615848433065e-05 9.74486737855279e-12 38 0.718812153331523 0.711212481799943 0.0572251143972529
"31" "dN.dS_ENSG00000108406" 1.57300612041809e-05 4.78477358952897e-05 33 0.40807900873345 0.389581477756371 0.0699311496259873
"32" "dN.dS_ENSG00000169967" 1.84504600390954e-05 8.18604085518353e-06 36 0.437956185124885 0.421897790414168 0.0855467068740109
"33" "dN.dS_ENSG00000184708" 4.44412980667011e-05 9.66158607666242e-12 37 0.728781993701492 0.721248160193201 0.108711059454697
"34" "dN.dS_ENSG00000108848" 1.59514728577543e-05 4.97443532292654e-07 32 0.56290576920267 0.548805955305982 0.0582905590637204
"35" "dN.dS_ENSG00000175931" 1.02127727105461e-05 9.84866235345921e-08 35 0.571252239178226 0.558642010918762 0.0336852458050757
"36" "dN.dS_ENSG00000158545" 2.74912701470497e-05 3.28055884287691e-11 35 0.730514474690954 0.722588429828923 0.0675503474128233
"37" "dN.dS_ENSG00000110171" 1.23592629003485e-05 1.36673101169621e-07 36 0.55248690921224 0.539700820904019 0.044612229306474
"38" "dN.dS_ENSG00000157540" 9.18078298677413e-06 5.28081271953772e-10 33 0.705466549217617 0.696262378880668 0.0218822684984783
"39" "dN.dS_ENSG00000170873" 1.70579038366946e-05 1.39305551703104e-06 36 0.49056954680384 0.476014390998236 0.0703588663774142
"40" "dN.dS_ENSG00000141456" 4.1571812777424e-05 1.33629547212124e-10 38 0.676554258371797 0.667812481571034 0.115253789035327
"41" "dN.dS_ENSG00000108061" 1.3925670857438e-05 0.000402470569092075 33 0.327816536333827 0.306810803094259 0.0721171189768049
"42" "dN.dS_ENSG00000009335" 2.18044255990261e-05 2.28086550666506e-07 38 0.519532902536163 0.506547305307411 0.0846595140413404
"43" "dN.dS_ENSG00000122482" 3.72938007984999e-05 3.26881535952678e-13 39 0.756366640404652 0.749955236204774 0.0843422381331605
"44" "dN.dS_ENSG00000156983" 4.786662874096e-06 1.13563617023038e-11 40 0.69736822726751 0.689608438223087 0.0124141790844229
"45" "dN.dS_ENSG00000100603" 4.96067631471755e-05 2.72919961532577e-10 34 0.706067163709427 0.697160108064258 0.132303647916011
"46" "dN.dS_ENSG00000112640" 7.15617853185327e-06 1.61341626918264e-08 35 0.613787402847373 0.602428208813472 0.0217089564698054
"47" "dN.dS_ENSG00000068831" 7.13320706109632e-06 8.84905685817688e-05 35 0.367720706526108 0.349124256718052 0.0359273324569473
"48" "dN.dS_ENSG00000177380" 8.17018086345984e-06 9.23427012406603e-06 31 0.486160884820857 0.469032914314886 0.0356617858830255
"49" "dN.dS_ENSG00000138207" 1.97444493387275e-05 5.93113232869041e-07 35 0.524575614742131 0.510592544587487 0.0668695322261942
"50" "dN.dS_ENSG00000136709" 1.4359849494835e-05 7.85384768819536e-09 37 0.608285705175559 0.597404752541547 0.0471336831879343
"51" "dN.dS_ENSG00000065243" 2.28500056602842e-05 2.92483232769188e-11 35 0.732309872221505 0.724436633169196 0.0558578774011305
