"EnsemblId"	"GeneChr"	"GeneStart"	"GeneEnd"	"GeneLength"	"GeneType"	"GeneName"	"NumberOfTranscripts"	"AverageExonLength"	"AverageNumberOfExonsPerTranscript"
"59"	"ENSG00000004776"	"19"	35754569	35758079	3510	"protein_coding"	"HSPB6"	3	302.444444444444	3
"608"	"ENSG00000044574"	"9"	125234853	125241330	6477	"protein_coding"	"HSPA5"	1	487.5	8
"1512"	"ENSG00000080824"	"14"	102080738	102139699	58961	"protein_coding"	"HSP90AA1"	10	259.875	4.8
"1551"	"ENSG00000081870"	"1"	53916574	53945929	29355	"protein_coding"	"HSPB11"	6	193.833333333333	4
"2062"	"ENSG00000096384"	"6"	44246166	44253888	7722	"protein_coding"	"HSP90AB1"	4	217.166666666667	12
"3272"	"ENSG00000106211"	"7"	76302544	76304295	1751	"protein_coding"	"HSPB1"	3	360.375	2.66666666666667
"3727"	"ENSG00000109971"	"11"	123057489	123063230	5741	"protein_coding"	"HSPA8"	24	240.198347107438	5.04166666666667
"4134"	"ENSG00000113013"	"5"	138554882	138575444	20562	"protein_coding"	"HSPA9"	13	156.410256410256	6
"4450"	"ENSG00000115541"	"2"	197499994	197503457	3463	"protein_coding"	"HSPE1"	7	232.842105263158	2.71428571428571
"5085"	"ENSG00000120694"	"13"	31134974	31162388	27414	"protein_coding"	"HSPH1"	9	253.915887850467	11.8888888888889
"5862"	"ENSG00000126803"	"14"	64535905	64546173	10268	"protein_coding"	"HSPA2"	3	1723.8	1.66666666666667
"6628"	"ENSG00000132622"	"20"	3732667	3753111	20444	"protein_coding"	"HSPA12B"	2	245.4	12.5
"6746"	"ENSG00000133265"	"19"	55262231	55280381	18150	"protein_coding"	"HSPBP1"	9	184.913043478261	5.11111111111111
"8290"	"ENSG00000142798"	"1"	21822245	21937297	115052	"protein_coding"	"HSPG2"	14	163.416149068323	11.5
"8561"	"ENSG00000144381"	"2"	197486581	197516737	30156	"protein_coding"	"HSPD1"	14	176.361111111111	5.14285714285714
"9502"	"ENSG00000152137"	"12"	119178642	119221131	42489	"protein_coding"	"HSPB8"	3	355.444444444444	3
"9617"	"ENSG00000153048"	"16"	8852942	8869012	16070	"protein_coding"	"CARHSP1"	20	345.320512820513	3.9
"9863"	"ENSG00000155304"	"21"	14371115	14383484	12369	"protein_coding"	"HSPA13"	2	574.75	4
"11231"	"ENSG00000164070"	"4"	127781821	127840733	58912	"protein_coding"	"HSPA4L"	5	254.662162162162	14.8
"11707"	"ENSG00000165868"	"10"	116671192	116849741	178549	"protein_coding"	"HSPA12A"	5	408.757575757576	6.6
"11907"	"ENSG00000166598"	"12"	103930107	103953645	23538	"protein_coding"	"HSP90B1"	11	164.392405063291	7.18181818181818
"12521"	"ENSG00000169087"	"3"	122740003	122793824	53821	"protein_coding"	"HSPBAP1"	6	293.48275862069	4.83333333333333
"12573"	"ENSG00000169271"	"5"	54455601	54456384	783	"protein_coding"	"HSPB3"	1	783	1
"12700"	"ENSG00000169877"	"16"	31527864	31528803	939	"protein_coding"	"AHSP"	3	124.333333333333	3
"12790"	"ENSG00000170276"	"11"	111912242	111914093	1851	"protein_coding"	"HSPB2"	1	666.5	2
"12873"	"ENSG00000170606"	"5"	133051962	133106449	54487	"protein_coding"	"HSPA4"	5	160.045454545455	13.2
"13452"	"ENSG00000173110"	"1"	161524540	161526910	2370	"protein_coding"	"HSPA6"	1	2370	1
"13566"	"ENSG00000173641"	"1"	16014028	16019594	5566	"protein_coding"	"HSPB7"	7	580.428571428571	3
