"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","hmgcrb  (ENSAPOG00000002024)Compare Regions (MVNR01000473.1:193,097-210,156:1)View Sequence Alignments","n/a","70.41 %","69.14 %","25","n/a","No"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","hmgcra  (ENSAPOG00000005503)Compare Regions (MVNR01001856.1:22,343-41,120:-1)View Sequence Alignments","n/a","74.63 %","74.55 %","25","86.76","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","HMGCR  (ENSAMEG00000000634)Compare Regions (GL192524.1:1,396,571-1,412,157:1)View Sequence Alignments","0.06656","95.83 %","95.83 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","hmgcrb  (ENSACIG00000006291)Compare Regions (CCOE01001088.1:314,559-321,638:1)View Sequence Alignments","n/a","71.60 %","67.00 %","50","88.76","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","ENSACIG00000007426Compare Regions (CCOE01000970.1:33,629-59,932:1)View Sequence Alignments","n/a","75.36 %","70.61 %","0","1.52","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","hmgcrb  (ENSAOCG00000008816)Compare Regions (NXFZ01003045.1:436,089-456,869:1)View Sequence Alignments","n/a","69.08 %","68.69 %","50","0.88","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","hmgcra  (ENSAOCG00000016096)Compare Regions (NXFZ01003443.1:398,733-415,221:1)View Sequence Alignments","n/a","75.23 %","75.23 %","50","86.79","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","hmgcrb  (ENSAPEG00000004677)Compare Regions (16:20,984,097-21,006,886:-1)View Sequence Alignments","n/a","68.86 %","68.47 %","50","1.42","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","hmgcra  (ENSAPEG00000013032)Compare Regions (5:796,849-810,622:1)View Sequence Alignments","n/a","74.61 %","74.77 %","25","86.62","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","hmgcrb  (ENSATEG00000007723)Compare Regions (OOHO01000014.1:24,797,214-24,803,109:1)View Sequence Alignments","n/a","68.71 %","68.24 %","50","86.50","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","ENSATEG00000008992Compare Regions (OOHO01000012.1:23,226-42,722:-1)View Sequence Alignments","n/a","74.80 %","74.55 %","0","3.91","No"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","HMGCR  (ENSAPLG00000006209)Compare Regions (Z:26,022,786-26,039,728:-1)View Sequence Alignments","n/a","86.96 %","86.37 %","100","100.00","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","HMGCR  (ENSACAG00000008698)Compare Regions (2:14,885,587-14,911,381:-1)View Sequence Alignments","n/a","84.22 %","83.56 %","100","100.00","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","HMGCR  (ENSABRG00000000510)Compare Regions (NXHY01000184.1:887,249-902,032:1)View Sequence Alignments","n/a","87.42 %","86.82 %","100","99.15","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","HMGCR  (ENSANAG00000030341)Compare Regions (KZ201076.1:12,548,138-12,573,802:1)View Sequence Alignments","0.08204","95.43 %","98.87 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","HMGCR  (ENSAHAG00000013656)Compare Regions (PTFD01000154.1:1,460,457-1,474,533:1)View Sequence Alignments","n/a","87.34 %","87.05 %","100","100.00","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","HMGCR  (ENSAOWG00000006785)Compare Regions (PTFC01000050.1:1,893,740-1,908,127:-1)View Sequence Alignments","n/a","87.64 %","87.05 %","100","100.00","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","HMGCR  (ENSARWG00000014222)Compare Regions (PTFB01000140.1:427,510-445,384:-1)View Sequence Alignments","n/a","82.32 %","87.05 %","100","97.32","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","HMGCR (1 of many)  (ENSACLG00000017730)Compare Regions (12:1,148,868-1,168,830:-1)View Sequence Alignments","n/a","73.81 %","73.31 %","0","80.89","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","hmgcrb  (ENSACLG00000025791)Compare Regions (7:12,363,736-12,372,683:1)View Sequence Alignments","n/a","66.41 %","67.00 %","50","7.62","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","hmgcra  (ENSAMXG00000007971)Compare Regions (APWO02000027.1:5,378,464-5,392,690:-1)View Sequence Alignments","n/a","78.60 %","78.60 %","75","89.08","Yes"
