"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","notch1b  (ENSAPOG00000022322)Compare Regions (MVNR01000516.1:170,642-233,017:1)View Sequence Alignments","n/a","71.15 %","69.71 %","0","1.44","No"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","notch1a  (ENSAPOG00000023753)Compare Regions (MVNR01000335.1:185,100-208,522:1)View Sequence Alignments","n/a","72.34 %","70.22 %","0","97.82","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","NOTCH1  (ENSAMEG00000003827)Compare Regions (GL193170.1:719,819-743,199:-1)View Sequence Alignments","n/a","89.53 %","85.32 %","100","98.18","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","notch1b  (ENSACIG00000001768)Compare Regions (CCOE01000009.1:87,854-127,717:-1)View Sequence Alignments","n/a","69.84 %","67.16 %","0","97.82","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","notch1a  (ENSACIG00000014093)Compare Regions (CCOE01000268.1:3,899-25,156:-1)View Sequence Alignments","n/a","69.94 %","64.74 %","0","0.28","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","notch1b  (ENSAOCG00000009820)Compare Regions (NXFZ01002998.1:177,580-224,237:1)View Sequence Alignments","n/a","70.97 %","68.88 %","0","5.55","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","notch1a  (ENSAOCG00000020039)Compare Regions (NXFZ01002396.1:452,355-470,700:-1)View Sequence Alignments","n/a","71.95 %","69.59 %","0","92.18","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","notch1b  (ENSAPEG00000009619)Compare Regions (5:33,151,712-33,218,577:1)View Sequence Alignments","n/a","71.42 %","70.33 %","0","1.31","No"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","notch1a  (ENSAPEG00000021342)Compare Regions (16:14,405,721-14,421,199:1)View Sequence Alignments","n/a","71.82 %","68.14 %","0","98.16","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","notch1b  (ENSATEG00000002771)Compare Regions (OOHO01000012.1:19,654,124-19,682,957:1)View Sequence Alignments","n/a","70.65 %","66.89 %","0","96.09","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","notch1a  (ENSATEG00000013629)Compare Regions (OOHO01000014.1:27,737,238-27,759,881:-1)View Sequence Alignments","n/a","71.80 %","69.67 %","0","3.40","No"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-manyView Gene Tree","ENSAPLG00000004580Compare Regions (18:8,614,497-8,631,877:1)View Sequence Alignments","n/a","81.69 %","71.94 %","75","94.89","Yes"
