"genes" "slopes" "p_val_slope" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err"
"1" "dN.dS_ENSG00000004776" 2.13670011561551e-05 8.58604476114227e-10 50 0.539370743227537 0.529970146150548 0.0737546118429391
"2" "dN.dS_ENSG00000007923" 1.66021637685375e-05 2.4758222701022e-11 66 0.498631891977859 0.490918536469826 0.0635717085348299
"3" "dN.dS_ENSG00000025796" 2.67953053858669e-05 1.38415638902532e-10 56 0.530102018100222 0.521558418429317 0.0954967841299204
"4" "dN.dS_ENSG00000044574" 6.08108530967034e-06 5.59692860540288e-09 49 0.510647406576586 0.500452560880265 0.0188106826780386
"5" "dN.dS_ENSG00000059769" 3.23202582206494e-05 8.98713264154193e-18 44 0.823013822900612 0.818897865293649 0.0662049062464748
"6" "dN.dS_ENSG00000077232" 2.59182019889712e-05 4.43072104808119e-14 57 0.641425206500906 0.635022085188422 0.0779894451004491
"7" "dN.dS_ENSG00000081870" 6.18181660218165e-05 6.38987481503561e-15 56 0.671822744185721 0.665855884989098 0.173372039197176
"8" "dN.dS_ENSG00000096384" 7.24635775897561e-06 2.65785411217773e-05 56 0.276550179165709 0.263396546059631 0.0439609252339474
"9" "dN.dS_ENSG00000100209" 7.55698530905024e-05 4.537692750912e-17 60 0.700171235906142 0.695089392446924 0.186367280645776
"10" "dN.dS_ENSG00000102580" 1.76299931782819e-05 2.542033333299e-17 61 0.699862949636353 0.694860665463625 0.0454587397829245
"11" "dN.dS_ENSG00000103423" 3.7536663694644e-05 2.34550454144561e-15 65 0.627508677751884 0.621688500841757 0.112644225687034
"12" "dN.dS_ENSG00000104129" 3.4178165926215e-05 6.06206529548838e-18 60 0.719822321773109 0.715073547565873 0.0834296746938168
"13" "dN.dS_ENSG00000105821" 2.86003121062876e-05 4.11361403199046e-20 57 0.780923231758133 0.777011146610957 0.0572519168281475
"14" "dN.dS_ENSG00000108176" 0.000169098914003042 8.33423766141363e-12 61 0.543503806037154 0.535895536137773 0.592849175104166
"15" "dN.dS_ENSG00000109846" 2.42056504822818e-05 5.06419299105165e-14 59 0.626722975493831 0.620287164726484 0.0657808349101667
"16" "dN.dS_ENSG00000110011" 0.000104151715391442 1.02760096354696e-23 59 0.826308886314954 0.823314211941073 0.183827198095582
"17" "dN.dS_ENSG00000113013" 2.01654150410109e-05 6.3587681445655e-07 49 0.406575013108671 0.394211992548435 0.096278911319996
"18" "dN.dS_ENSG00000115137" 2.14266786433091e-05 1.65040743413504e-11 62 0.527220986567329 0.519470510937285 0.0700874007020746
"19" "dN.dS_ENSG00000115484" 2.03658223037304e-05 6.89671006038536e-09 53 0.478658681861858 0.468632887282278 0.079946200756126
"20" "dN.dS_ENSG00000116138" 4.29740555585464e-05 3.95521464860919e-22 66 0.765207884041675 0.761595697642316 0.090998382513562
"21" "dN.dS_ENSG00000116675" 2.72577582149288e-05 1.36377012503527e-15 63 0.645467482545696 0.639749216135143 0.0792800239702851
"22" "dN.dS_ENSG00000120438" 9.66712273927837e-06 1.54335476340434e-07 43 0.484691268634229 0.472422013125521 0.0365985085976501
"23" "dN.dS_ENSG00000120675" 0.000104000288101033 1.78046698904401e-18 57 0.749543731014036 0.745071297639286 0.236151986957085
"24" "dN.dS_ENSG00000120694" 4.72765911212602e-05 3.29506115602373e-24 63 0.81239873551533 0.809372908668803 0.0912501255571045
"25" "dN.dS_ENSG00000125863" 7.60767162777705e-05 1.05765533403907e-18 71 0.673976785284994 0.669319310789065 0.20365083426858
"26" "dN.dS_ENSG00000126602" 2.40783780322177e-05 4.21233424531639e-23 61 0.806972767095984 0.803755646547584 0.0468472848373346
"27" "dN.dS_ENSG00000126698" 3.40612390588915e-05 8.17183344969233e-07 52 0.382025965044889 0.369908827104593 0.143530146467931
"28" "dN.dS_ENSG00000126803" 3.90912943412816e-06 1.16964037735413e-09 43 0.589827038195358 0.580061015295248 0.0125944543778147
"29" "dN.dS_ENSG00000128590" 6.47442698034353e-05 4.06660870393147e-14 68 0.576290493924863 0.56996647144613 0.210130538277237
"30" "dN.dS_ENSG00000132002" 1.43481087471363e-05 1.93882655979473e-12 61 0.56489868713929 0.557646998591612 0.0470260310650764
"31" "dN.dS_ENSG00000132141" 6.81151372135852e-05 2.58213778795839e-20 65 0.738645813829515 0.734562154670601 0.158320838965399
"32" "dN.dS_ENSG00000132622" 1.03511166925196e-05 8.90363096839269e-12 55 0.580873874525183 0.573112279608982 0.0357571887375718
"33" "dN.dS_ENSG00000135624" 1.35261101156814e-05 3.5355847747256e-08 49 0.472376523472833 0.46138436771185 0.0583153631413493
"34" "dN.dS_ENSG00000135924" 4.57962332965666e-05 9.78723064672364e-15 56 0.666738702769999 0.660679406456726 0.112520159517088
"35" "dN.dS_ENSG00000136770" 5.54282519649087e-05 5.55203128791767e-17 63 0.679995220640183 0.674833853231153 0.14974535159947
"36" "dN.dS_ENSG00000137094" 1.40656216525115e-05 4.2112536490719e-13 58 0.605162298571661 0.59823532135362 0.042146475332675
"37" "dN.dS_ENSG00000138246" 1.54399670529333e-05 3.39890028256946e-17 62 0.690933273474702 0.685866605826746 0.0385392371162281
"38" "dN.dS_ENSG00000140403" 4.20799253076846e-05 9.9782003917649e-14 61 0.605437125984924 0.598861078084673 0.1360615954913
"39" "dN.dS_ENSG00000147570" 4.97963222102889e-05 6.86653841330649e-18 63 0.700720850330869 0.69589376727169 0.12200338937172
"40" "dN.dS_ENSG00000148719" 2.44050897305632e-05 1.23621344177388e-19 67 0.714577499386109 0.710252916043475 0.0583676055374298
"41" "dN.dS_ENSG00000149428" 3.17935258962252e-05 6.40822705880574e-22 68 0.751227113952736 0.747514085802777 0.0708619871870237
"42" "dN.dS_ENSG00000150753" 1.31644672424234e-05 0.000445210294054334 43 0.256994279252816 0.239303666854074 0.0687514585961523
"43" "dN.dS_ENSG00000151835" 1.84316295590145e-05 2.13502126490112e-22 64 0.780152807307979 0.776663169328741 0.0383355549571474
"44" "dN.dS_ENSG00000152137" 1.517608146129e-05 1.73012020066069e-10 47 0.591319176849746 0.582434811129088 0.0399197249451327
"45" "dN.dS_ENSG00000155087" 2.15582949593319e-05 9.52859217485918e-18 57 0.734174786874367 0.729427908068552 0.0543587483606079
"46" "dN.dS_ENSG00000155304" 3.17766059912154e-05 2.57381713821199e-14 64 0.604646402913074 0.59837094899106 0.0996653214462048
"47" "dN.dS_ENSG00000156261" 1.86922777522603e-05 4.78934395566971e-12 58 0.570423336088861 0.562886903388666 0.0634645122398319
"48" "dN.dS_ENSG00000162129" 4.4956990934977e-05 1.04098384400147e-18 66 0.701212547639852 0.696615817603542 0.112323180560072
"49" "dN.dS_ENSG00000162616" 1.80089165300017e-05 3.49117638389568e-13 44 0.711589539036533 0.704882319014126 0.0338925607570229
"50" "dN.dS_ENSG00000163468" 1.6822747786313e-05 1.52689490778371e-08 57 0.438218758133005 0.428186950242523 0.0742818886316502
"51" "dN.dS_ENSG00000163793" 0.000141503169797172 4.12221824576069e-23 60 0.812449552462322 0.809270731317615 0.272328327223545
