"genes" "S" "rho" "p_val" "number_of_species"
"1" "dN.dS_ENSG00000076108" 9532.10755042483 -0.043014284979191 0.797627444682295 38
"2" "dN.dS_ENSG00000140153" 4635.69924811019 0.150348378278924 0.411449765934207 32
"3" "dN.dS_ENSG00000172262" 7543.66962492928 -0.0565363620349129 0.747009865880233 35
"4" "dN.dS_ENSG00000123200" 3291.65245442106 0.538984250081084 0.000835694762465956 35
"5" "dN.dS_ENSG00000153560" 3991.83414133846 0.332915417557076 0.058342525351134 33
"6" "dN.dS_ENSG00000143393" 6749.47701400424 0.261464381879391 0.11281709775936 38
"7" "dN.dS_ENSG00000157450" 7848.64697188798 0.141191927794291 0.397810307743324 38
"8" "dN.dS_ENSG00000198910" 11404.6198516851 -0.247906756941139 0.133436314400964 38
"9" "dN.dS_ENSG00000014641" 3612.3946091693 0.53508434888426 0.000772567250618956 36
"10" "dN.dS_ENSG00000173757" 4804.46805257088 0.2659330706538 0.128469500614498 34
"11" "dN.dS_ENSG00000175115" 5448.66493426304 0.167507267492278 0.343686423709407 34
"12" "dN.dS_ENSG00000121274" 2185.10061882324 0.599505018544127 0.000287789410031309 32
"13" "dN.dS_ENSG00000198822" 5226.66843425264 0.38043285511467 0.0201920591213777 37
"14" "dN.dS_ENSG00000100505" 3531.54635473695 0.581371935190024 0.000160989399154844 37
"15" "dN.dS_ENSG00000155545" 6391.55641395922 0.177405866929316 0.300618122750381 36
"16" "dN.dS_ENSG00000104885" 8364.19121197984 -0.0764724854542914 0.65755456563284 36
"17" "dN.dS_ENSG00000094880" 5617.22920314313 0.385356253075486 0.0168834543253236 38
"18" "dN.dS_ENSG00000157193" 1676.51207578303 0.743848422340255 4.62155293008065e-07 34
"19" "dN.dS_ENSG00000155096" 4787.96869049402 0.122439756141126 0.504397914894897 32
"20" "dN.dS_ENSG00000105705" 7349.86479961021 0.0540714543616202 0.754122422712795 36
"21" "dN.dS_ENSG00000173889" 8524.79836531771 0.0672066566016299 0.688490749016119 38
"22" "dN.dS_ENSG00000149930" 7082.43734434239 0.225031475616327 0.174354376961522 38
"23" "dN.dS_ENSG00000163462" 6810.51821873293 0.192683947518619 0.253217403474295 37
"24" "dN.dS_ENSG00000102230" 5784.05045550105 0.189908899789769 0.274527908464297 35
"25" "dN.dS_ENSG00000153201" 1661.5550910815 0.722333708041193 2.07531174741384e-06 33
"26" "dN.dS_ENSG00000148835" 3338.11553249492 0.442159837484137 0.00998338639631419 33
"27" "dN.dS_ENSG00000097007" 7707.15889029316 -0.0794340182483413 0.65012465372871 35
"28" "dN.dS_ENSG00000189221" 7822.81827452465 0.0726863116969354 0.668997166999113 37
"29" "dN.dS_ENSG00000145604" 4770.50439035998 0.331862130201683 0.0514611052631362 35
"30" "dN.dS_ENSG00000151553" 4692.78355817213 0.486510169802809 0.00195393155376857 38
"31" "dN.dS_ENSG00000108406" 4692.56829960338 0.215814121055584 0.227727944730435 33
"32" "dN.dS_ENSG00000169967" 9128.78694506113 -0.174876054705422 0.307674330412229 36
"33" "dN.dS_ENSG00000184708" 4779.13293014315 0.433483531277483 0.00735793953397966 37
"34" "dN.dS_ENSG00000108848" 5419.97689118279 0.00660247595623356 0.971391128817809 32
"35" "dN.dS_ENSG00000175931" 8808.35053063327 -0.23366253930438 0.176711280047928 35
"36" "dN.dS_ENSG00000158545" 3260.64144329341 0.543327528950503 0.000743793449954974 35
"37" "dN.dS_ENSG00000110171" 2646.68108662678 0.659371803522937 1.22224902892807e-05 36
"38" "dN.dS_ENSG00000157540" 2568.78778038704 0.57072396718131 0.000523880453983533 33
"39" "dN.dS_ENSG00000170873" 8460.22211492608 -0.0888316750226617 0.606413016841518 36
"40" "dN.dS_ENSG00000141456" 4874.8333652391 0.466590068362064 0.00314822454987042 38
"41" "dN.dS_ENSG00000108061" 4097.08102024491 0.31532736961148 0.073858507016118 33
"42" "dN.dS_ENSG00000009335" 10589.4761731097 -0.158712788391471 0.341228978537944 38
"43" "dN.dS_ENSG00000122482" 6644.01734785297 0.327528608516906 0.0418113703066532 39
"44" "dN.dS_ENSG00000156983" 9145.07363382694 0.142113167558449 0.381708123339279 40
"45" "dN.dS_ENSG00000100603" 5187.58514214867 0.207397228090348 0.239219531294085 34
"46" "dN.dS_ENSG00000112640" 3806.09907044159 0.466932903299497 0.00468724080372059 35
"47" "dN.dS_ENSG00000068831" 7112.99243379556 0.00378257229754006 0.982794687768124 35
"48" "dN.dS_ENSG00000177380" 3645.33720046226 0.265052983777769 0.149576762600677 31
"49" "dN.dS_ENSG00000138207" 8696.93613183801 -0.218058281770029 0.208244297472329 35
"50" "dN.dS_ENSG00000136709" 4085.95291928465 0.515652807102341 0.00108929098612336 37
"51" "dN.dS_ENSG00000065243" 4016.40623574987 0.437478118242315 0.00858670255485313 35
"52" "dN.dS_ENSG00000174437" 4365.93306207398 0.522274530903383 0.000769842465653461 38
"53" "dN.dS_ENSG00000176208" 3398.87472638794 0.562564385278257 0.000355229212642736 36
"54" "dN.dS_ENSG00000107882" 8179.73757805326 0.104963608922939 0.530553743568673 38
"55" "dN.dS_ENSG00000174243" 5094.33504878123 0.221644759544503 0.207742272347753 34
"56" "dN.dS_ENSG00000152127" 8658.09214700621 -0.0263267125422247 0.877081947480919 37
"57" "dN.dS_ENSG00000087087" 4161.40733281801 0.364185281464017 0.0342222839246168 34
"58" "dN.dS_ENSG00000120616" 8174.65209419453 -0.14490925688999 0.406223868356109 35
"59" "dN.dS_ENSG00000072364" 4430.19214923244 0.323118082623004 0.0623266870504519 34
"60" "dN.dS_ENSG00000108001" 2027.15193943386 0.739105284500146 2.63162759201024e-07 36
"61" "dN.dS_ENSG00000197122" 7536.40980299351 0.0300630884178236 0.861824733874607 36
"62" "dN.dS_ENSG00000154380" 3700.79558588003 0.481681290492994 0.00339221177233298 35
"63" "dN.dS_ENSG00000096384" 5103.91514069987 0.521208711003765 0.000563699913597016 40
"64" "dN.dS_ENSG00000145632" 6879.52381380457 -0.149653043750763 0.405838566584867 33
"65" "dN.dS_ENSG00000090372" 5299.92846989399 0.0286054857232423 0.876497631056761 32
"66" "dN.dS_ENSG00000125304" 2944.30519139708 0.677830704519414 2.93800449060811e-06 38
"67" "dN.dS_ENSG00000186260" 7188.63028846767 0.147862696957365 0.382467807397091 37
"68" "dN.dS_ENSG00000198720" 4653.70584998094 0.147048048024021 0.421908766316828 32
"69" "dN.dS_ENSG00000196419" 6297.10465165005 -0.0523236383105021 0.772439987022808 33
"70" "dN.dS_ENSG00000164076" 2031.78442520958 0.73850908298461 2.72184660325071e-07 36
"71" "dN.dS_ENSG00000071243" 4482.80775173835 0.42306206541334 0.0101471602546824 36
"72" "dN.dS_ENSG00000116106" 7529.55967268818 0.176106830869003 0.290226635616591 38
"73" "dN.dS_ENSG00000124702" 7583.98950958692 0.170151054865201 0.307105143575826 38
"74" "dN.dS_ENSG00000156261" 3304.00947720095 0.495185717769144 0.00290561824578884 34
"75" "dN.dS_ENSG00000129083" 5518.31137339972 0.396179956953745 0.0138038706567625 38
"76" "dN.dS_ENSG00000094631" 5803.15910863324 -0.0636288688843916 0.729365560644005 32
"77" "dN.dS_ENSG00000077147" 4238.83071490822 0.223088212076939 0.219706927467581 32
"78" "dN.dS_ENSG00000036549" 5542.61704565772 0.153152475835337 0.387181711625046 34
"79" "dN.dS_ENSG00000198730" 2537.14175417857 0.743204275892858 5.99093615976797e-08 39
"80" "dN.dS_ENSG00000133216" 3854.48808957859 0.503926886798122 0.00172758962368399 36
"81" "dN.dS_ENSG00000083307" 7640.14011489696 -0.0700476351396308 0.689267722262883 35
"82" "dN.dS_ENSG00000047056" 3758.70915818321 0.516253647595469 0.0012679960104598 36
"83" "dN.dS_ENSG00000153046" 3978.45827982774 0.270810432582892 0.133832013661978 32
"84" "dN.dS_ENSG00000183814" 3584.00378308259 0.498038685842775 0.00233010093290384 35
"85" "dN.dS_ENSG00000102974" 3801.71247487689 0.51071911520246 0.00145897188650087 36
"86" "dN.dS_ENSG00000124571" 11834.0071452088 -0.402798381366615 0.0134454905481414 37
"87" "dN.dS_ENSG00000118454" 9636.8892711177 0.0246063490771563 0.881798759970025 39
"88" "dN.dS_ENSG00000149136" 6287.92772220508 0.190742892895099 0.265134818749275 36
"89" "dN.dS_ENSG00000102226" 5102.87052997914 0.0647231433322687 0.724889304872816 32
"90" "dN.dS_ENSG00000139687" 10435.3546701032 -0.141848634435195 0.395596807896942 38
"91" "dN.dS_ENSG00000109111" 8237.20395168389 0.0986755715413182 0.555593707526827 38
"92" "dN.dS_ENSG00000108262" 6275.35960151577 0.256121431778595 0.125990966360335 37
"93" "dN.dS_ENSG00000082641" 8655.95609799648 -0.114022663834811 0.50787099139712 36
"94" "dN.dS_ENSG00000091622" 9763.17076708675 -0.0682974906539826 0.683694902590793 38
"95" "dN.dS_ENSG00000147548" 6604.70001287001 0.149974258317888 0.382640654982588 36
"96" "dN.dS_ENSG00000131725" 4441.35734285391 0.42839673837144 0.00914215817387721 36
"97" "dN.dS_ENSG00000136448" 4283.10235610718 0.448764175533182 0.00604620776909858 36
"98" "dN.dS_ENSG00000067842" 3659.6772895199 0.528999061837851 0.000909572050238689 36
"99" "dN.dS_ENSG00000154727" 3419.75786924939 0.310532687651332 0.0890845673707665 31
"100" "dN.dS_ENSG00000126583" 3555.55347027567 0.578526141503595 0.000176380742546366 37
"101" "dN.dS_ENSG00000196961" 3687.68630287922 0.525394298213743 0.00100049659876579 36
"102" "dN.dS_ENSG00000110048" 6400.6474829348 0.176235845182136 0.303868666295186 36
"103" "dN.dS_ENSG00000151612" 8859.15049215651 -0.0501600867895343 0.768127342234195 37
"104" "dN.dS_ENSG00000168522" 2537.26730642831 0.488454172091067 0.0053038333120638 31
"105" "dN.dS_ENSG00000095787" 6947.55883659975 0.176439208558588 0.296196344809754 37
"106" "dN.dS_ENSG00000196323" 4188.96665987578 0.413309991614036 0.0135932306902224 35
"107" "dN.dS_ENSG00000143376" 4548.27967395947 0.305075680067308 0.0793550909824818 34
"108" "dN.dS_ENSG00000176444" 8512.87732091494 0.138372740798083 0.400866652562607 39
"109" "dN.dS_ENSG00000135040" 6900.30630330232 -0.153126053359346 0.394903603849584 33
"110" "dN.dS_ENSG00000173039" 3691.35301666631 0.323432364980516 0.0709650745284678 32
"111" "dN.dS_ENSG00000122299" 13736.2577652735 -0.503037286932218 0.00128651316706126 38
"112" "dN.dS_ENSG00000162706" 5531.81580673557 0.394702286165273 0.0141940042542873 38
"113" "dN.dS_ENSG00000133422" 4665.71025122811 0.144847827854086 0.428962784161339 32
"114" "dN.dS_ENSG00000198853" 1446.00595544768 0.797478157500325 9.76251221731892e-09 35
"115" "dN.dS_ENSG00000166477" 4140.83212615678 0.467074372437995 0.00407992750547348 36
"116" "dN.dS_ENSG00000087258" 4200.90402055526 0.297977269292236 0.0921330402926981 33
