"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","dnajc28  (ENSAPOG00000005534)Compare Regions (MVNR01001731.1:121,346-126,433:1)View Sequence Alignments","n/a","40.86 %","41.49 %","0","74.92","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","DNAJC28  (ENSAMEG00000019497)Compare Regions (GL192682.1:772,565-773,719:1)View Sequence Alignments","0.17860","84.68 %","84.02 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","dnajc28  (ENSACIG00000015532)Compare Regions (CCOE01000489.1:4,760,040-4,762,908:-1)View Sequence Alignments","n/a","42.93 %","41.49 %","0","66.60","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","dnajc28  (ENSAOCG00000017288)Compare Regions (NXFZ01002214.1:76,160-77,314:-1)View Sequence Alignments","n/a","41.93 %","41.49 %","0","65.72","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","dnajc28  (ENSAPEG00000021266)Compare Regions (7:11,509,039-11,510,193:1)View Sequence Alignments","n/a","41.93 %","41.49 %","0","65.72","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","dnajc28  (ENSATEG00000007051)Compare Regions (OOHO01000006.1:25,564,677-25,565,840:1)View Sequence Alignments","n/a","42.64 %","42.53 %","0","75.51","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","DNAJC28  (ENSAPLG00000011212)Compare Regions (1:108,567,711-108,605,062:-1)View Sequence Alignments","n/a","57.18 %","56.44 %","0","91.05","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","DNAJC28  (ENSACAG00000004229)Compare Regions (3:143,137,306-143,138,659:1)View Sequence Alignments","n/a","55.50 %","54.64 %","100","87.26","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","DNAJC28  (ENSABRG00000015609)Compare Regions (NXHY01000162.1:1,362,434-1,367,352:-1)View Sequence Alignments","n/a","59.19 %","56.44 %","100","99.29","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","DNAJC28  (ENSAHAG00000018804)Compare Regions (PTFD01000051.1:875,879-876,994:1)View Sequence Alignments","n/a","56.87 %","54.38 %","100","100.00","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","DNAJC28  (ENSAOWG00000017766)Compare Regions (PTFC01000092.1:276,726-277,841:-1)View Sequence Alignments","n/a","56.87 %","54.38 %","100","100.00","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","DNAJC28  (ENSARWG00000013640)Compare Regions (PTFB01000047.1:2,214,034-2,215,149:1)View Sequence Alignments","n/a","56.87 %","54.38 %","100","100.00","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","dnajc28  (ENSACLG00000011650)Compare Regions (11:34,521,300-34,522,451:1)View Sequence Alignments","n/a","42.56 %","42.01 %","0","67.54","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","dnajc28  (ENSAMXG00000026074)Compare Regions (19:31,226,158-31,227,288:1)View Sequence Alignments","n/a","43.88 %","42.53 %","0","80.20","Yes"
"Pachon cavefish (Astyanax mexicanus)","1-to-1View Gene Tree","dnajc28  (ENSAMXG00005024096)Compare Regions (KB871578.1:6,642,409-6,643,539:-1)View Sequence Alignments","n/a","43.88 %","42.53 %","0","80.20","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","DNAJC28  (ENSBBBG00000017748)Compare Regions (KN265176.1:1,347,990-1,349,369:1)View Sequence Alignments","0.26574","82.90 %","82.47 %","100","100.00","Yes"
"Hybrid - Bos Indicus (Bos indicus x Bos taurus)","1-to-1View Gene Tree","DNAJC28  (ENSBIXG00005005292)Compare Regions (1:1,793,360-1,797,063:1)View Sequence Alignments","0.26021","83.16 %","81.44 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","DNAJC28  (ENSBMUG00000008494)Compare Regions (JH880890.1:1,977,864-1,979,006:-1)View Sequence Alignments","0.25934","82.89 %","81.19 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","DNAJC28  (ENSBTAG00000009187)Compare Regions (1:2,028,900-2,030,042:1)View Sequence Alignments","0.26882","82.63 %","80.93 %","100","100.00","Yes"
"Hybrid - Bos Taurus (Bos indicus x Bos taurus)","1-to-1View Gene Tree","DNAJC28  (ENSBIXG00000005472)Compare Regions (1:155,250,142-155,251,284:-1)View Sequence Alignments","0.25447","83.16 %","81.44 %","100","100.00","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","DNAJC28  (ENSCPUG00000012512)Compare Regions (KQ482128.1:7,917,208-7,918,326:1)View Sequence Alignments","n/a","59.14 %","56.70 %","100","100.00","Yes"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","DNAJC28  (ENSCPGG00000012895)Compare Regions (QJSC01010318.1:6,348,989-6,351,092:1)View Sequence Alignments","n/a","60.38 %","56.96 %","100","98.92","Yes"
