"Human" "Chimpanzee" "Bonobo" "Gorilla" "Orangutan" "Macaque" "Mouse" "Opossum" "Platypus" "Chicken"
"ENSG00000198824" 0 0 0 0 0 0 0 0 0 0
"ENSG00000118402" 0 0 0 0 0 0 0 0 0 0
"ENSG00000166167" 0 0 0 0 0 0 0 0 0 0
"ENSG00000144724" 0 0 0 0 0 0 0 0 0 0
"ENSG00000183508" 0 0 0 0 0 0 0 0 0 0
"ENSG00000008086" 0 0 0 0 0 0 0 0 0 0
"ENSG00000203667" 1 0 0 0 0 1 1 0 0 0
"ENSG00000134809" 0 0 0 0 0 0 0 0 0 0
"ENSG00000103642" 0 0 0 0 0 0 0 0 0 0
"ENSG00000163683" 0 0 0 0 0 0 0 0 0 0
"ENSG00000025800" 0 0 0 0 0 0 0 0 0 0
"ENSG00000116786" 0 0 0 0 0 0 0 0 0 0
"ENSG00000125037" 0 0 0 0 0 0 0 0 0 0
"ENSG00000124743" 1 0 0 0 0 1 0 1 0 0
"ENSG00000148943" 1 0 0 0 0 0 0 0 0 0
"ENSG00000188596" 0 0 0 0 0 0 0 0 0 1
"ENSG00000110429" 0 0 0 0 0 0 0 0 0 0
"ENSG00000009790" 0 0 0 0 0 0 1 0 0 0
"ENSG00000124882" 0 0 0 0 0 0 0 0 0 0
"ENSG00000145041" 0 0 0 0 0 0 0 0 0 0
"ENSG00000131669" 0 0 0 0 0 0 0 0 0 0
"ENSG00000184060" 0 0 0 0 0 0 0 0 0 0
"ENSG00000114744" 1 0 0 0 0 0 0 0 0 0
"ENSG00000080823" 0 0 0 0 0 0 0 1 0 0
"ENSG00000142871" 0 0 0 0 0 0 0 0 0 0
"ENSG00000117036" 0 0 0 0 0 0 0 0 0 0
"ENSG00000138750" 0 0 0 0 0 0 0 0 0 0
"ENSG00000157426" 0 0 0 0 0 0 0 0 0 0
"ENSG00000132437" 1 0 0 0 0 0 0 0 0 0
"ENSG00000035687" 0 0 0 0 0 0 0 0 0 0
"ENSG00000179776" 0 0 0 0 0 0 0 0 0 0
"ENSG00000175895" 0 0 0 0 0 0 0 0 0 0
"ENSG00000135525" 0 0 0 0 0 0 0 0 0 0
"ENSG00000154124" 1 0 0 0 0 0 0 0 0 0
"ENSG00000115841" 0 0 0 0 0 0 0 0 0 0
"ENSG00000138231" 1 0 0 0 0 0 0 0 0 0
"ENSG00000139832" 0 0 0 0 0 0 0 0 0 0
"ENSG00000184956" 0 0 0 0 0 0 0 0 0 0
"ENSG00000124145" 0 0 0 0 0 0 0 0 0 0
"ENSG00000165650" 1 0 0 0 0 0 0 0 0 0
"ENSG00000005206" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164168" 0 0 0 0 0 0 0 0 0 0
"ENSG00000163380" 0 0 0 0 0 0 0 0 0 0
"ENSG00000161013" 0 0 0 0 0 0 0 0 0 0
"ENSG00000112701" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186666" 1 0 0 0 0 0 0 0 0 0
"ENSG00000100532" 0 0 0 0 0 0 0 0 0 0
"ENSG00000172339" 0 0 0 0 0 0 0 0 0 0
"ENSG00000033867" 1 0 0 0 0 0 0 0 0 0
"ENSG00000101463" 0 0 0 0 0 0 0 0 0 0
"ENSG00000057657" 0 0 0 0 0 0 0 0 0 0
"ENSG00000168743" 0 0 0 0 0 0 0 0 0 0
"ENSG00000213949" 0 0 0 0 0 0 0 1 0 0
"ENSG00000141429" 0 0 0 0 0 0 0 0 0 0
"ENSG00000180190" 0 0 0 0 0 0 0 0 0 0
"ENSG00000197712" 0 0 0 0 0 0 0 0 0 0
"ENSG00000123243" 0 0 0 0 0 0 0 0 0 0
"ENSG00000168710" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164675" 0 0 0 0 0 0 0 0 0 0
"ENSG00000128805" 1 0 0 0 0 0 1 0 0 0
"ENSG00000132361" 0 0 0 0 0 0 0 0 0 0
"ENSG00000171503" 0 0 0 0 1 0 0 0 0 0
"ENSG00000144460" 1 0 0 0 0 0 0 0 0 0
"ENSG00000134317" 0 0 0 0 0 0 0 0 0 0
"ENSG00000155903" 0 0 0 0 0 0 0 0 0 0
"ENSG00000008282" 0 0 0 0 0 0 0 0 0 0
"ENSG00000181192" 0 0 0 0 0 0 0 0 0 0
"ENSG00000071243" 0 0 0 0 0 0 0 0 0 0
"ENSG00000102024" 0 0 0 0 0 0 0 0 0 0
"ENSG00000137672" 0 0 0 0 0 0 0 0 0 0
"ENSG00000168389" 0 0 0 0 0 0 0 0 0 0
"ENSG00000176915" 0 0 0 0 0 0 0 0 0 0
"ENSG00000119899" 0 0 0 0 0 0 0 0 0 0
"ENSG00000168438" 0 0 0 0 0 0 0 0 0 0
"ENSG00000126883" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164975" 0 0 0 0 0 0 1 1 0 0
"ENSG00000146950" 0 0 0 0 0 0 0 0 0 0
"ENSG00000198898" 0 0 0 0 0 0 0 0 0 0
"ENSG00000131620" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164070" 0 0 0 0 0 0 0 0 0 0
"ENSG00000030304" 0 0 0 0 0 0 0 0 0 0
"ENSG00000114541" 0 0 0 0 0 0 0 0 0 0
"ENSG00000102984" 0 0 0 0 0 0 0 0 0 0
"ENSG00000106927" 0 0 0 0 0 0 0 0 0 0
"ENSG00000101577" 0 0 0 0 0 0 0 0 0 0
"ENSG00000169372" 0 0 0 0 0 0 0 0 0 0
"ENSG00000169218" 0 0 0 0 0 0 0 0 0 0
"ENSG00000166183" 0 0 0 0 0 0 0 0 0 0
"ENSG00000172172" 0 0 0 0 0 0 0 0 0 0
"ENSG00000093167" 0 0 0 0 0 0 0 0 0 0
"ENSG00000166068" 0 0 0 0 0 0 0 0 0 0
"ENSG00000198087" 0 0 0 0 0 0 0 0 0 0
"ENSG00000133687" 0 0 0 0 0 0 0 0 0 0
"ENSG00000177614" 0 0 0 0 0 0 0 0 0 0
"ENSG00000151079" 0 0 0 0 0 0 0 0 0 0
"ENSG00000134313" 1 0 0 0 0 0 0 0 0 0
"ENSG00000137819" 0 0 0 1 0 0 0 0 0 0
"ENSG00000066185" 0 0 0 0 0 0 0 0 0 1
"ENSG00000016402" 0 0 0 0 0 0 0 0 0 0
"ENSG00000184613" 0 0 0 0 0 0 0 0 0 0
"ENSG00000135046" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164050" 0 0 0 0 0 0 0 0 0 0
"ENSG00000168685" 0 0 0 0 0 0 0 0 0 0
"ENSG00000135372" 0 0 0 0 0 0 0 0 0 0
"ENSG00000171119" 1 0 0 0 0 0 0 0 0 0
"ENSG00000114480" 0 0 0 0 0 0 0 0 0 0
"ENSG00000001631" 0 0 0 0 0 0 0 0 0 0
"ENSG00000143995" 0 0 0 0 0 0 0 0 0 0
"ENSG00000167995" 1 1 1 1 0 1 0 0 0 1
"ENSG00000078140" 0 0 0 0 0 0 0 0 0 0
"ENSG00000107618" 0 0 0 0 0 0 0 0 0 0
"ENSG00000143970" 0 0 0 0 0 0 0 0 0 0
"ENSG00000179600" 0 0 0 0 0 0 0 0 0 0
"ENSG00000106799" 0 0 0 0 0 0 0 0 0 0
"ENSG00000140553" 0 0 0 0 0 0 0 0 0 0
"ENSG00000162998" 0 0 0 0 0 0 0 0 0 0
"ENSG00000084676" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186073" 0 0 0 0 0 0 0 0 0 0
"ENSG00000110888" 0 0 0 0 0 0 0 0 0 0
"ENSG00000134769" 0 0 0 0 0 0 0 0 0 0
"ENSG00000160223" 0 0 0 0 0 0 0 0 0 0
"ENSG00000101146" 0 0 0 0 0 0 0 0 0 0
"ENSG00000177182" 1 0 0 0 1 0 1 0 0 0
"ENSG00000182752" 0 1 1 0 0 0 0 0 0 0
"ENSG00000112357" 0 0 0 0 0 0 0 0 0 0
"ENSG00000156171" 1 0 0 0 0 0 0 0 0 0
"ENSG00000130779" 0 0 0 0 0 0 0 0 0 0
"ENSG00000166398" 0 0 0 0 0 0 0 0 0 0
"ENSG00000198216" 0 0 0 0 0 0 0 0 0 0
"ENSG00000185324" 0 0 0 0 0 0 1 0 0 0
"ENSG00000082212" 0 0 0 0 0 0 0 0 0 0
"ENSG00000131023" 0 0 0 0 0 0 0 0 0 0
"ENSG00000074527" 0 0 0 0 0 0 0 0 0 0
"ENSG00000180251" 0 0 0 0 0 0 0 0 0 0
"ENSG00000145833" 0 0 0 0 0 0 0 0 0 0
"ENSG00000109819" 0 0 0 0 0 0 0 0 0 0
"ENSG00000139915" 0 0 0 0 0 0 1 0 0 0
"ENSG00000124596" 0 0 0 0 0 0 0 0 0 0
"ENSG00000172239" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186487" 0 0 0 0 0 0 0 0 0 0
