"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","camk2a  (ENSAPOG00000020867)Compare Regions (MVNR01002262.1:37,712-67,256:1)View Sequence Alignments","n/a","92.47 %","90.39 %","0","79.97","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","CAMK2A  (ENSAMEG00000004756)Compare Regions (GL192580.1:530,479-574,022:1)View Sequence Alignments","0.07168","87.86 %","93.25 %","100","99.21","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","camk2a  (ENSACIG00000021870)Compare Regions (CCOE01000391.1:67,307-98,218:-1)View Sequence Alignments","n/a","86.67 %","82.41 %","0","77.66","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","camk2a  (ENSAOCG00000019343)Compare Regions (NXFZ01005714.1:64,922-86,271:1)View Sequence Alignments","n/a","92.47 %","90.39 %","0","83.74","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","camk2a  (ENSAPEG00000004147)Compare Regions (15:526,121-546,555:-1)View Sequence Alignments","n/a","86.24 %","85.89 %","0","78.57","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","camk2a  (ENSATEG00000013591)Compare Regions (OOHO01000011.1:22,586,424-22,600,025:1)View Sequence Alignments","n/a","85.40 %","63.39 %","0","71.82","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","CAMK2A  (ENSANAG00000021986)Compare Regions (KZ203792.1:4,817,471-4,889,667:1)View Sequence Alignments","n/a","100.00 %","100.00 %","100","100.00","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","camk2a  (ENSACLG00000002047)Compare Regions (10:33,956,312-33,996,129:-1)View Sequence Alignments","n/a","92.36 %","86.50 %","0","74.22","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","camk2a  (ENSAMXG00000000783)Compare Regions (14:22,049,520-22,131,679:-1)View Sequence Alignments","n/a","92.84 %","92.84 %","25","61.63","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","CAMK2A  (ENSBBBG00000023955)Compare Regions (KN265006.1:11,538,936-11,601,867:-1)View Sequence Alignments","0.00253","99.80 %","99.80 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","CAMK2A  (ENSBMUG00000012261)Compare Regions (JH881718.1:124,713-192,191:-1)View Sequence Alignments","0.00248","99.80 %","99.80 %","75","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","CAMK2A  (ENSBTAG00000020087)Compare Regions (7:61,574,371-61,640,274:-1)View Sequence Alignments","0.00254","99.80 %","99.80 %","100","100.00","Yes"
"Caenorhabditis elegans (Caenorhabditis elegans)","Many-to-manyView Gene Tree","Y50D7A.3  (WBGene00021753)Compare Regions (III:254,535-264,636:1)View Sequence Alignments","n/a","19.59 %","19.43 %","n/a","n/a","No"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","CAMK2A  (ENSCPGG00000016531)Compare Regions (QJSC01001671.1:3,544,959-3,576,144:1)View Sequence Alignments","n/a","60.44 %","67.48 %","100","80.95","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","CAMK2A  (ENSCJAG00000021031)Compare Regions (NTIC01011112.1:152,783,960-152,854,400:1)View Sequence Alignments","n/a","100.00 %","100.00 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","CAMK2A  (ENSCAFG00000018163)Compare Regions (4:58,800,921-58,865,889:1)View Sequence Alignments","0.00211","99.58 %","97.34 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","CAMK2A  (ENSCAFG00020023618)Compare Regions (QKWQ01001938.1:8,075,240-8,114,552:-1)View Sequence Alignments","0.10401","85.12 %","66.67 %","100","98.81","Yes"
"Goat (Capra hircus)","1-to-1View Gene Tree","CAMK2A  (ENSCHIG00000025051)Compare Regions (7:48,785,278-48,851,937:1)View Sequence Alignments","0.00241","99.80 %","99.80 %","100","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","CAMK2A  (ENSTSYG00000014099)Compare Regions (KE940814.1:34,693-102,260:1)View Sequence Alignments","0.00253","99.80 %","99.80 %","75","100.00","Yes"
"American beaver (Castor canadensis)","1-to-manyView Gene Tree","ENSCCNG00000015716Compare Regions (MTKA01000687.1:261,375-293,468:1)View Sequence Alignments","n/a","89.81 %","28.83 %","50","81.66","No"
"American beaver (Castor canadensis)","1-to-manyView Gene Tree","ENSCCNG00000026766Compare Regions (MTKA01001721.1:25,281-60,560:1)View Sequence Alignments","n/a","81.74 %","36.61 %","0","28.08","No"
"Brazilian guinea pig (Cavia aperea)","1-to-1View Gene Tree","CAMK2A  (ENSCAPG00000008865)Compare Regions (AVPZ01000667.1:12,087,815-12,144,313:-1)View Sequence Alignments","0.06032","95.92 %","91.41 %","100","99.16","Yes"
"Guinea Pig (Cavia porcellus)","1-to-1View Gene Tree","CAMK2A  (ENSCPOG00000006638)Compare Regions (DS562861.1:12,090,353-12,150,208:-1)View Sequence Alignments","0.00261","99.80 %","99.80 %","100","100.00","Yes"
"Capuchin (Cebus capucinus imitator)","1-to-1View Gene Tree","CAMK2A  (ENSCCAG00000029738)Compare Regions (KV389497.1:5,223,065-5,259,500:1)View Sequence Alignments","0.19702","94.39 %","86.09 %","50","96.42","Yes"
"Sooty mangabey (Cercocebus atys)","1-to-1View Gene Tree","CAMK2A  (ENSCATG00000035164)Compare Regions (KQ009929.1:3,224,772-3,294,965:-1)View Sequence Alignments","n/a","100.00 %","100.00 %","100","100.00","Yes"
"Long-tailed chinchilla (Chinchilla lanigera)","1-to-1View Gene Tree","CAMK2A  (ENSCLAG00000012010)Compare Regions (JH721875.1:4,247,014-4,307,458:1)View Sequence Alignments","0.00296","99.80 %","99.80 %","100","100.00","Yes"
"Vervet-AGM (Chlorocebus sabaeus)","1-to-1View Gene Tree","CAMK2A  (ENSCSAG00000011585)Compare Regions (23:52,829,350-52,899,375:-1)View Sequence Alignments","0.01848","99.79 %","97.55 %","100","100.00","Yes"
"Ciona intestinalis","Many-to-manyView Gene Tree","ENSCING00000009748Compare Regions (HT000174.1:219,615-225,067:-1)View Sequence Alignments","n/a","27.14 %","23.31 %","n/a","n/a","No"
