Human Chimpanzee Gorilla Orangutan Macaque Mouse Opossum Platypus Chicken
ENSG00000198824 ENSPTRG00000023033 ENSGGOG00000009918 ENSPPYG00000005537 ENSMMUG00000023599 ENSMUSG00000047710 ENSMODG00000003128 ENSOANG00000000610 ENSGALG00000016813
ENSG00000118402 ENSPTRG00000018370 ENSGGOG00000009359 ENSPPYG00000016794 ENSMMUG00000020208 ENSMUSG00000032262 ENSMODG00000018420 ENSOANG00000001290 ENSGALG00000015876
ENSG00000166167 ENSPTRG00000002869 ENSGGOG00000005023 ENSPPYG00000002583 ENSMMUG00000006741 ENSMUSG00000025217 ENSMODG00000011788 ENSOANG00000007316 ENSGALG00000007820
ENSG00000144724 ENSPTRG00000015067 ENSGGOG00000006858 ENSPPYG00000013752 ENSMMUG00000012487 ENSMUSG00000021745 ENSMODG00000002722 ENSOANG00000006011 ENSGALG00000007177
ENSG00000183508 ENSPTRG00000001166 ENSGGOG00000004149 ENSPPYG00000000972 ENSMMUG00000004907 ENSMUSG00000044468 ENSMODG00000023227 ENSOANG00000003065 ENSGALG00000014453
ENSG00000008086 ENSPTRG00000021711 ENSGGOG00000010796 ENSPPYG00000020166 ENSMMUG00000005063 ENSMUSG00000031292 ENSMODG00000017140 ENSOANG00000004037 ENSGALG00000016529
ENSG00000203667 ENSPTRG00000030086 ENSGGOG00000028397 ENSPPYG00000000053 ENSMMUG00000031175 ENSMUSG00000026500 ENSMODG00000024669 ENSOANG00000019757 ENSGALG00000010676
ENSG00000134809 ENSPTRG00000003659 ENSGGOG00000012434 ENSPPYG00000003272 ENSMMUG00000001330 ENSMUSG00000027076 ENSMODG00000020102 ENSOANG00000003812 ENSGALG00000004845
ENSG00000103642 ENSPTRG00000007143 ENSGGOG00000014658 ENSPPYG00000006536 ENSMMUG00000003544 ENSMUSG00000032370 ENSMODG00000011098 ENSOANG00000014411 ENSGALG00000003505
ENSG00000163683 ENSPTRG00000015997 ENSGGOG00000026483 ENSPPYG00000014678 ENSMMUG00000020324 ENSMUSG00000037822 ENSMODG00000020555 ENSOANG00000010335 ENSGALG00000014321
ENSG00000025800 ENSPTRG00000000471 ENSGGOG00000004016 ENSPPYG00000001603 ENSMMUG00000008455 ENSMUSG00000003731 ENSMODG00000017528 ENSOANG00000003840 ENSGALG00000003383
ENSG00000116786 ENSPTRG00000000205 ENSGGOG00000015173 ENSPPYG00000001840 ENSMMUG00000016281 ENSMUSG00000028917 ENSMODG00000003492 ENSOANG00000005720 ENSGALG00000003439
ENSG00000125037 ENSPTRG00000014606 ENSGGOG00000004087 ENSPPYG00000013669 ENSMMUG00000018290 ENSMUSG00000030286 ENSMODG00000005371 ENSOANG00000013805 ENSGALG00000003738
ENSG00000124743 ENSPTRG00000018291 ENSGGOG00000016811 ENSPPYG00000016723 ENSMMUG00000023789 ENSMUSG00000044938 ENSMODG00000018798 ENSOANG00000005777 ENSGALG00000016309
ENSG00000148943 ENSPTRG00000003457 ENSGGOG00000026123 ENSPPYG00000003403 ENSMMUG00000023119 ENSMUSG00000027162 ENSMODG00000009456 ENSOANG00000009721 ENSGALG00000012170
ENSG00000188596 ENSPTRG00000005326 ENSGGOG00000008490 ENSPPYG00000004855 ENSMMUG00000019643 ENSMUSG00000054579 ENSMODG00000007823 ENSOANG00000006601 ENSGALG00000011471
ENSG00000110429 ENSPTRG00000003490 ENSGGOG00000001949 ENSPPYG00000003369 ENSMMUG00000006063 ENSMUSG00000027180 ENSMODG00000009829 ENSOANG00000007403 ENSGALG00000006619
ENSG00000009790 ENSPTRG00000001939 ENSGGOG00000006197 ENSPPYG00000000255 ENSMMUG00000022062 ENSMUSG00000037318 ENSMODG00000002520 ENSOANG00000022477 ENSGALG00000001373
ENSG00000124882 ENSPTRG00000016166 ENSGGOG00000003811 ENSPPYG00000014837 ENSMMUG00000002313 ENSMUSG00000029377 ENSMODG00000019193 ENSOANG00000006917 ENSGALG00000010864
ENSG00000145041 ENSPTRG00000014973 ENSGGOG00000001039 ENSPPYG00000013832 ENSMMUG00000004280 ENSMUSG00000040325 ENSMODG00000011890 ENSOANG00000012792 ENSGALG00000002398
ENSG00000131669 ENSPTRG00000021124 ENSGGOG00000023536 ENSPPYG00000019387 ENSMMUG00000014398 ENSMUSG00000037966 ENSMODG00000008842 ENSOANG00000020681 ENSGALG00000005219
ENSG00000184060 ENSPTRG00000008966 ENSGGOG00000004257 ENSPPYG00000008144 ENSMMUG00000009077 ENSMUSG00000020709 ENSMODG00000019196 ENSOANG00000005260 ENSGALG00000003319
ENSG00000114744 ENSPTRG00000015520 ENSGGOG00000003255 ENSPPYG00000014200 ENSMMUG00000018983 ENSMUSG00000036513 ENSMODG00000021267 ENSOANG00000009074 ENSGALG00000020605
ENSG00000080823 ENSPTRG00000006738 ENSGGOG00000006052 ENSPPYG00000006155 ENSMMUG00000007140 ENSMUSG00000056458 ENSMODG00000013319 ENSOANG00000005736 ENSGALG00000011366
ENSG00000142871 ENSPTRG00000000916 ENSGGOG00000006978 ENSPPYG00000001192 ENSMMUG00000013197 ENSMUSG00000028195 ENSMODG00000000285 ENSOANG00000009120 ENSGALG00000008661
ENSG00000117036 ENSPTRG00000001486 ENSGGOG00000009231 ENSPPYG00000000693 ENSMMUG00000008999 ENSMUSG00000003382 ENSMODG00000016664 ENSOANG00000014553 ENSGALG00000000669
ENSG00000138750 ENSPTRG00000016185 ENSGGOG00000008376 ENSPPYG00000014858 ENSMMUG00000020910 ENSMUSG00000034826 ENSMODG00000019296 ENSOANG00000006927 ENSGALG00000011506
ENSG00000157426 ENSPTRG00000016079 ENSGGOG00000023372 ENSPPYG00000014755 ENSMMUG00000016360 ENSMUSG00000055923 ENSMODG00000020692 ENSOANG00000007831 ENSGALG00000013764
ENSG00000132437 ENSPTRG00000019189 ENSGGOG00000006304 ENSPPYG00000017558 ENSMMUG00000019991 ENSMUSG00000020182 ENSMODG00000009255 ENSOANG00000000284 ENSGALG00000013094
ENSG00000035687 ENSPTRG00000002178 ENSGGOG00000011109 ENSPPYG00000000057 ENSMMUG00000000016 ENSMUSG00000015961 ENSMODG00000006559 ENSOANG00000010254 ENSGALG00000010702
ENSG00000179776 ENSPTRG00000008190 ENSGGOG00000005712 ENSPPYG00000007416 ENSMMUG00000023525 ENSMUSG00000031871 ENSMODG00000006956 ENSOANG00000006521 ENSGALG00000005272
ENSG00000175895 ENSPTRG00000020436 ENSGGOG00000022351 ENSPPYG00000018760 ENSMMUG00000014183 ENSMUSG00000049969 ENSMODG00000024548 ENSOANG00000013068 ENSGALG00000015988
ENSG00000135525 ENSPTRG00000018636 ENSGGOG00000000974 ENSPPYG00000017033 ENSMMUG00000016373 ENSMUSG00000019996 ENSMODG00000017442 ENSOANG00000009448 ENSGALG00000013900
ENSG00000154124 ENSPTRG00000016738 ENSGGOG00000015318 ENSPPYG00000015352 ENSMMUG00000021939 ENSMUSG00000046034 ENSMODG00000002941 ENSOANG00000011614 ENSGALG00000019543
ENSG00000115841 ENSPTRG00000011842 ENSGGOG00000010617 ENSPPYG00000012486 ENSMMUG00000013944 ENSMUSG00000036368 ENSMODG00000008468 ENSOANG00000004754 ENSGALG00000010554
ENSG00000138231 ENSPTRG00000015441 ENSGGOG00000004564 ENSPPYG00000014139 ENSMMUG00000021284 ENSMUSG00000032469 ENSMODG00000018554 ENSOANG00000007783 ENSGALG00000001190
ENSG00000139832 ENSPTRG00000031118 ENSGGOG00000012600 ENSPPYG00000005500 ENSMMUG00000022284 ENSMUSG00000031504 ENSMODG00000004562 ENSOANG00000015621 ENSGALG00000016844
ENSG00000184956 ENSPTRG00000003145 ENSGGOG00000000463 ENSPPYG00000002894 ENSMMUG00000012779 ENSMUSG00000048191 ENSMODG00000018618 ENSOANG00000020666 ENSGALG00000020492
