species	D
Monodelphis_domestica	0
Notamacropus_eugenii	0
Phascolarctos_cinereus	0
Sarcophilus_harrisii	0
Choloepus_hoffmanni	1.1991396604571491e-05
Dasypus_novemcinctus	0
Chrysochloris_asiatica	0
Echinops_telfairi	4.352012183517218e-06
Orycteropus_afer_afer	2.135682299362088
Elephantulus_edwardii	0
Loxodonta_africana	3.1483720414034906
Trichechus_manatus_latirostris	0
Procavia_capensis	0
Aotus_nancymaae	0
Callithrix_jacchus	0
Cebus_capucinus	0
Saimiri_boliviensis	0
Cercocebus_atys	0
Mandrillus_leucophaeus	0
Papio_anubis	0
Macaca_fascicularis	0
Macaca_nemestrina	0
Macaca_mulatta	0
Chlorocebus_sabaeus	49.09411344557884
Piliocolobus_tephrosceles	0
Rhinopithecus_bieti	0.40626429645635653
Rhinopithecus_roxellana	0
Colobus_angolensis	0
Gorilla_gorilla	0.9386528733666637
Homo_sapiens	0
Pan_paniscus	0
Pan_troglodytes	0
Pongo_abelii	0
Nomascus_leucogenys	0
Carlito_syrichta	0.16441980890522245
Microcebus_murinus	0
Propithecus_coquereli	0
Otolemur_garnettii	0.00039972018566913903
Galeopterus_variegatus	0
Tupaia_belangeri	0
Tupaia_chinensis	0
Cavia_aperea	0
Cavia_porcellus	0
Chinchilla_lanigera	0
Octodon_degus	0
Fukomys_damarensis	0
Heterocephalus_glaber	0
Cricetulus_griseus	0
Mesocricetus_auratus	0
Peromyscus_maniculatus	0
Meriones_unguiculatus	0
Mus_caroli	0.16289833738119341
Mus_musculus	0
Mus_spretus	0
Mus_pahari	0
Rattus_norvegicus	0
Microtus_ochrogaster	0
Nannospalax_galili	0
Jaculus_jaculus	0
Dipodomys_ordii	5.820766091346741e-11
Ictidomys_tridecemlineatus	0
Marmota_marmota_marmota	0
Ochotona_princeps	0
Oryctolagus_cuniculus	0
Condylura_cristata	0
Balaenoptera_acutorostrata_scammoni	0
Delphinapterus_leucas	0
Orcinus_orca	0
Tursiops_truncatus	0.010021318928920664
Lipotes_vexillifer	0.3352536970778601
Physeter_catodon	2.9278453439474106e-08
Bison_bison_bison	0
Bos_indicus	0
Bos_taurus	0
Bos_mutus	1.6487319953739643e-07
Bubalus_bubalis	0
Capra_hircus	0
Ovis_aries	0
Pantholops_hodgsonii	0
Odocoileus_virginianus_texanus	0
Camelus_bactrianus	0
Camelus_ferus	0
Camelus_dromedarius	0
Vicugna_pacos	0
Sus_scrofa	0
Ceratotherium_simum_simum	0
Equus_asinus	0
Equus_caballus	0
Equus_przewalskii	0
Eptesicus_fuscus	0
Myotis_davidii	0
Myotis_lucifugus	0
Miniopterus_natalensis	0
Hipposideros_armiger	0
Rhinolophus_sinicus	0
Pteropus_alecto	0
Pteropus_vampyrus	0.5527151726273587
Rousettus_aegyptiacus	0
Ailuropoda_melanoleuca	0.3756980450998526
Ursus_maritimus	0
Leptonychotes_weddellii	0
Neomonachus_schauinslandi	0
Odobenus_rosmarus_divergens	0
Enhydra_lutris_kenyoni	0
Mustela_putorius	0
Canis_familiaris	0
Felis_catus	0
Panthera_pardus	0
Panthera_tigris_altaica	0
Acinonyx_jubatus	0
Ornithorhynchus_anatinus	1.0913936421275139e-10
