"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","MAX  (ENSAPOG00000006232)Compare Regions (MVNR01001154.1:93,061-99,845:1)View Sequence Alignments","n/a","86.67 %","81.25 %","50","74.57","Yes"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","max  (ENSAPOG00000008690)Compare Regions (MVNR01000575.1:290,743-308,140:-1)View Sequence Alignments","n/a","83.64 %","86.25 %","25","22.21","No"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","MAX  (ENSAMEG00000003472)Compare Regions (GL192381.1:1,165,723-1,188,819:1)View Sequence Alignments","n/a","100.00 %","100.00 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","MAX  (ENSACIG00000009383)Compare Regions (CCOE01000194.1:1,429,064-1,433,664:-1)View Sequence Alignments","n/a","83.87 %","81.25 %","50","88.31","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","max  (ENSACIG00000010661)Compare Regions (CCOE01000712.1:1,495,836-1,506,290:-1)View Sequence Alignments","n/a","89.66 %","81.25 %","25","n/a","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","max  (ENSAOCG00000005758)Compare Regions (NXFZ01002380.1:490,572-505,252:-1)View Sequence Alignments","n/a","84.85 %","87.50 %","25","98.92","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","MAX (1 of many)  (ENSAOCG00000010146)Compare Regions (NXFZ01005952.1:761,071-768,003:-1)View Sequence Alignments","n/a","64.68 %","81.25 %","50","n/a","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","MAX (1 of many)  (ENSAPEG00000001807)Compare Regions (18:34,835,436-34,842,375:1)View Sequence Alignments","n/a","64.68 %","81.25 %","50","n/a","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","max  (ENSAPEG00000007883)Compare Regions (11:19,035,387-19,049,041:1)View Sequence Alignments","n/a","81.29 %","86.88 %","25","97.82","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","MAX (1 of many)  (ENSATEG00000003028)Compare Regions (OOHO01000014.1:33,373,770-33,378,366:-1)View Sequence Alignments","n/a","84.52 %","81.88 %","50","23.80","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","max  (ENSATEG00000019059)Compare Regions (OOHO01000013.1:14,259,999-14,268,001:-1)View Sequence Alignments","n/a","82.42 %","85.00 %","50","76.86","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","MAX  (ENSAPLG00000001538)Compare Regions (PEDO01009219.1:3,925-4,977:-1)View Sequence Alignments","n/a","76.40 %","85.00 %","25","85.29","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","MAX  (ENSABRG00000014707)Compare Regions (NXHY01000386.1:216,904-219,345:1)View Sequence Alignments","n/a","89.52 %","69.38 %","50","97.22","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","MAX  (ENSANAG00000027631)Compare Regions (KZ208210.1:27,059-125,712:1)View Sequence Alignments","0.08284","99.38 %","99.38 %","50","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","MAX  (ENSAHAG00000007078)Compare Regions (PTFD01000946.1:176,828-180,816:-1)View Sequence Alignments","n/a","93.20 %","85.62 %","50","90.98","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","MAX  (ENSAOWG00000007940)Compare Regions (PTFC01000573.1:130,680-134,668:1)View Sequence Alignments","n/a","93.20 %","85.62 %","50","90.98","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","MAX  (ENSARWG00000006055)Compare Regions (PTFB01001112.1:13,407-14,707:-1)View Sequence Alignments","n/a","51.42 %","68.12 %","25","61.50","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","MAX (1 of many)  (ENSACLG00000001731)Compare Regions (19:26,478,334-26,488,022:-1)View Sequence Alignments","n/a","86.00 %","80.62 %","25","89.38","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","max  (ENSACLG00000026349)Compare Regions (15:14,734,310-14,744,951:-1)View Sequence Alignments","n/a","83.44 %","78.75 %","50","n/a","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","max  (ENSAMXG00000017435)Compare Regions (3:56,261,801-56,276,401:1)View Sequence Alignments","n/a","82.42 %","85.00 %","25","64.62","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","MAX (1 of many)  (ENSAMXG00000037338)Compare Regions (9:1,445,970-1,454,932:-1)View Sequence Alignments","n/a","81.71 %","83.75 %","50","30.61","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","MAX  (ENSBBBG00000006077)Compare Regions (KN264954.1:6,366,659-6,448,851:1)View Sequence Alignments","0.03529","99.38 %","99.38 %","75","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","MAX  (ENSBMUG00000018694)Compare Regions (JH883665.1:286,765-368,741:-1)View Sequence Alignments","0.03188","99.38 %","99.38 %","50","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","MAX  (ENSBTAG00000017994)Compare Regions (10:77,203,357-77,226,739:-1)View Sequence Alignments","0.03529","99.38 %","99.38 %","100","100.00","Yes"
"Caenorhabditis elegans (Caenorhabditis elegans)","1-to-manyView Gene Tree","mxl-1  (WBGene00003509)Compare Regions (V:11,244,839-11,245,927:1)View Sequence Alignments","n/a","36.29 %","28.12 %","n/a","n/a","No"
"Caenorhabditis elegans (Caenorhabditis elegans)","1-to-manyView Gene Tree","mxl-3  (WBGene00003511)Compare Regions (X:13,349,639-13,350,804:-1)View Sequence Alignments","n/a","23.83 %","35.00 %","n/a","n/a","No"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","MAX  (ENSCPUG00000005522)Compare Regions (KQ482219.1:3,332,743-3,339,202:1)View Sequence Alignments","n/a","84.47 %","85.00 %","50","88.81","Yes"
